user_code,rt_movie,wish_movie
6ADvGQwymxzZl,"[{'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.0}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 3.0}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 3.0}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 5.0}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 3.5}, {'movie_code': 'mO2x9k5', 'movie_title': '어바웃 타임', 'movie_rating': 3.0}, {'movie_code': 'mY5QvGW', 'movie_title': '포레스트 검프', 'movie_rating': 4.0}, {'movie_code': 'my5YGwO', 'movie_title': '센과 치히로의 행방불명', 'movie_rating': 3.0}, {'movie_code': 'm1WwY4d', 'movie_title': '시네마 천국', 'movie_rating': 3.5}]","[{'code': 'mjO0zL5', 'title': '대부', 'year': 1972, 'genres': ['범죄', '드라마', '스릴러'], 'ratings_avg': 4.3}, {'code': 'mWy4nk5', 'title': '절멸의 천사', 'year': 1962, 'genres': ['판타지', '드라마', '코미디'], 'ratings_avg': 4.1}, {'code': 'mO2MoxW', 'title': '선라이즈', 'year': 1927, 'genres': ['로맨스'], 'ratings_avg': 4.1}, {'code': 'mWvDoed', 'title': '엄마와 창녀', 'year': 1973, 'genres': ['드라마'], 'ratings_avg': 4.0}, {'code': 'mO1VNVd', 'title': '카비리아의 밤', 'year': 1957, 'genres': ['드라마'], 'ratings_avg': 4.0}, {'code': 'mdEK3gW', 'title': '만춘', 'year': 1949, 'genres': ['드라마'], 'ratings_avg': 4.0}, {'code': 'm5rQw27', 'title': '팬텀 스레드', 'year': 2017, 'genres': ['로맨스', '드라마'], 'ratings_avg': 4.0}, {'code': 'm5YJ4QW', 'title': '한없이 투명에 가까운 블루', 'year': 1980, 'genres': [], 'ratings_avg': 4.6}, {'code': 'mOg6B3W', 'title': '나의 아저씨', 'year': 1958, 'genres': ['코미디'], 'ratings_avg': 4.0}, {'code': 'm45nBk5', 'title': '위대한 독재자', 'year': 1940, 'genres': ['코미디'], 'ratings_avg': 4.0}]"
aJYMKqmk5loDW,"[{'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 5.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 5.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 5.0}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 5.0}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 5.0}, {'movie_code': 'm5DGP37', 'movie_title': '가버나움', 'movie_rating': 5.0}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 5.0}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 4.5}, {'movie_code': 'mO2x9k5', 'movie_title': '어바웃 타임', 'movie_rating': 5.0}, {'movie_code': 'mY5QvGW', 'movie_title': '포레스트 검프', 'movie_rating': 4.0}]","[{'code': 'mOAnkZd', 'title': '그들만의 세상', 'year': 2012, 'genres': ['다큐멘터리', '가족'], 'ratings_avg': 4.4}, {'code': 'm5Y6ajR', 'title': '코스모스', 'year': 1980, 'genres': ['다큐멘터리'], 'ratings_avg': 4.4}, {'code': 'm5mwgxx', 'title': '위대한 작은 농장', 'year': 2018, 'genres': ['다큐멘터리'], 'ratings_avg': 4.1}, {'code': 'mjO0zL5', 'title': '대부', 'year': 1972, 'genres': ['범죄', '드라마', '스릴러'], 'ratings_avg': 4.3}, {'code': 'mYdEXlO', 'title': '대부 2', 'year': 1974, 'genres': ['드라마', '범죄'], 'ratings_avg': 4.2}, {'code': 'mO0gNVR', 'title': '원더', 'year': 2017, 'genres': ['가족', '드라마'], 'ratings_avg': 4.2}, {'code': 'mWyaxex', 'title': '타오르는 여인의 초상', 'year': 2019, 'genres': ['드라마', '로맨스'], 'ratings_avg': 4.2}, {'code': 'mZ5e6oW', 'title': '본 얼티메이텀', 'year': 2007, 'genres': ['액션', '미스터리', '스릴러'], 'ratings_avg': 4.1}, {'code': 'm85XM3W', 'title': '하나 그리고 둘', 'year': 2000, 'genres': ['드라마'], 'ratings_avg': 4.1}, {'code': 'mdKmrJW', 'title': '아이언맨 3', 'year': 2013, 'genres': ['SF', '액션', '모험'], 'ratings_avg': 4.1}]"
87Gv7Z6QVqE6o,"[{'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 3.5}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 3.5}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.0}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 3.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 4.0}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 4.0}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 4.0}, {'movie_code': 'mO2x9k5', 'movie_title': '어바웃 타임', 'movie_rating': 3.5}, {'movie_code': 'mY5QvGW', 'movie_title': '포레스트 검프', 'movie_rating': 3.0}, {'movie_code': 'm5ZlXxL', 'movie_title': '나이브스 아웃', 'movie_rating': 4.0}]","[{'code': 'mdRJybd', 'title': '더 텐 오클락 피플', 'year': 2014, 'genres': ['공포', '스릴러'], 'ratings_avg': 0.0}, {'code': 'm5QA6GD', 'title': '테넷', 'year': 2020, 'genres': ['액션', 'SF'], 'ratings_avg': 4.0}, {'code': 'mdja2ZN', 'title': '아이리시맨', 'year': 2019, 'genres': ['범죄', '드라마'], 'ratings_avg': 3.9}, {'code': 'm5DGP37', 'title': '가버나움', 'year': 2018, 'genres': ['드라마'], 'ratings_avg': 4.3}, {'code': 'mNdKazW', 'title': '사탄탱고', 'year': 1994, 'genres': ['드라마'], 'ratings_avg': 4.2}, {'code': 'mdBzxzd', 'title': '12명의 성난 사람들', 'year': 1957, 'genres': ['드라마'], 'ratings_avg': 4.2}, {'code': 'm5aVG6j', 'title': '로마', 'year': 2018, 'genres': ['드라마'], 'ratings_avg': 4.1}, {'code': 'mOPomg7', 'title': '나, 다니엘 블레이크', 'year': 2016, 'genres': ['드라마'], 'ratings_avg': 4.1}, {'code': 'm5XML4L', 'title': '페이퍼맨', 'year': 2012, 'genres': ['애니메이션'], 'ratings_avg': 4.1}, {'code': 'mO2MoxW', 'title': '선라이즈', 'year': 1927, 'genres': ['로맨스'], 'ratings_avg': 4.1}]"
36lvXKdAPqXdn,"[{'movie_code': 'mOPV7VD', 'movie_title': '인비저블맨', 'movie_rating': 3.5}, {'movie_code': 'm5QA6GD', 'movie_title': '테넷', 'movie_rating': 4.0}, {'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 5.0}, {'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 4.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.5}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 5.0}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 4.5}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 5.0}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 5.0}]","[{'code': 'mOlpNeO', 'title': '아바타 3', 'year': 2021, 'genres': ['액션', '드라마', '판타지', 'SF'], 'ratings_avg': 4.0}, {'code': 'm53326n', 'title': '아바타 4', 'year': 2018, 'genres': ['판타지', '액션'], 'ratings_avg': 3.9}, {'code': 'mOk7BJO', 'title': '아바타 2', 'year': 2020, 'genres': ['액션', '판타지', 'SF'], 'ratings_avg': 3.6}, {'code': 'm5r3GPJ', 'title': '사마에게', 'year': 2019, 'genres': ['다큐멘터리', '전쟁'], 'ratings_avg': 4.2}, {'code': 'm5NvYo2', 'title': '서복(가제)', 'year': 2019, 'genres': [], 'ratings_avg': 4.4}, {'code': 'm6dRLWy', 'title': '타짜', 'year': 2006, 'genres': ['드라마', '코미디'], 'ratings_avg': 4.1}, {'code': 'mBOkGJO', 'title': '피아니스트', 'year': 2002, 'genres': ['드라마', '음악', '전쟁'], 'ratings_avg': 4.1}, {'code': 'm5aVG6j', 'title': '로마', 'year': 2018, 'genres': ['드라마'], 'ratings_avg': 4.1}, {'code': 'mE5DMQW', 'title': '줄무늬 파자마를 입은 소년', 'year': 2008, 'genres': ['드라마', '전쟁'], 'ratings_avg': 4.1}, {'code': 'm5nQ7nd', 'title': '데어 윌 비 블러드', 'year': 2007, 'genres': ['드라마'], 'ratings_avg': 4.1}]"
17ovVmrwBqzyn,"[{'movie_code': 'mWvkk73', 'movie_title': '리차드 쥬얼', 'movie_rating': 3.5}, {'movie_code': 'mOkL6rw', 'movie_title': '브레이킹 배드 무비: 엘 카미노', 'movie_rating': 3.0}, {'movie_code': 'mOPV7VD', 'movie_title': '인비저블맨', 'movie_rating': 3.5}, {'movie_code': 'm5QA6GD', 'movie_title': '테넷', 'movie_rating': 3.5}, {'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 3.0}, {'movie_code': 'm5x1lMq', 'movie_title': '미안해요, 리키', 'movie_rating': 4.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.5}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 5.0}]","[{'code': 'mOAZkmV', 'title': '벌집의 아이들', 'year': 1948, 'genres': ['드라마'], 'ratings_avg': 4.1}, {'code': 'm5aVG7D', 'title': '이제 그만 끝낼까 해', 'year': 2020, 'genres': ['스릴러', '드라마', '공포'], 'ratings_avg': 4.6}, {'code': 'md6B3Ad', 'title': '대부 일대기', 'year': 1992, 'genres': ['드라마', '범죄'], 'ratings_avg': 4.4}, {'code': 'mWw9Q4d', 'title': '벌어진 입', 'year': 1974, 'genres': [], 'ratings_avg': 4.1}, {'code': 'md6ZkZd', 'title': '코뮌', 'year': 2000, 'genres': ['다큐멘터리'], 'ratings_avg': 4.3}, {'code': 'm5xJZll', 'title': '토킹 헤즈', 'year': 1980, 'genres': ['단편', '다큐멘터리'], 'ratings_avg': 4.0}, {'code': 'mNdKazW', 'title': '사탄탱고', 'year': 1994, 'genres': ['드라마'], 'ratings_avg': 4.2}, {'code': 'mY5QvGW', 'title': '포레스트 검프', 'year': 1994, 'genres': ['드라마', '로맨스', '코미디'], 'ratings_avg': 4.3}, {'code': 'mdEoAlW', 'title': '스톱 메이킹 센스', 'year': 1984, 'genres': ['다큐멘터리', '음악'], 'ratings_avg': 4.1}, {'code': 'mjO0zL5', 'title': '대부', 'year': 1972, 'genres': ['범죄', '드라마', '스릴러'], 'ratings_avg': 4.3}]"
ZBm5Ry4Wyvd46,"[{'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 3.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.5}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 4.5}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 4.0}, {'movie_code': 'my5YGwO', 'movie_title': '센과 치히로의 행방불명', 'movie_rating': 4.5}, {'movie_code': 'm1WwY4d', 'movie_title': '시네마 천국', 'movie_rating': 4.5}, {'movie_code': 'mdBzNnP', 'movie_title': '어벤져스: 엔드게임', 'movie_rating': 3.0}, {'movie_code': 'mO2p7x5', 'movie_title': '인터스텔라', 'movie_rating': 3.5}, {'movie_code': 'mLOPKgW', 'movie_title': '트루먼 쇼', 'movie_rating': 4.5}]","[{'code': 'mNdKBkO', 'title': '쇼생크 탈출', 'year': 1994, 'genres': ['드라마'], 'ratings_avg': 4.4}, {'code': 'mdja2ZN', 'title': '아이리시맨', 'year': 2019, 'genres': ['범죄', '드라마'], 'ratings_avg': 3.9}, {'code': 'm5DGP37', 'title': '가버나움', 'year': 2018, 'genres': ['드라마'], 'ratings_avg': 4.3}, {'code': 'm5r3G2E', 'title': '이터널스', 'year': 2020, 'genres': ['액션', '드라마', '판타지'], 'ratings_avg': 3.0}, {'code': 'mdRL4eL', 'title': '기생충', 'year': 2019, 'genres': ['드라마'], 'ratings_avg': 4.3}, {'code': 'mO2x9k5', 'title': '어바웃 타임', 'year': 2013, 'genres': ['판타지', '드라마', '로맨틱코미디', '코미디', '로맨스'], 'ratings_avg': 4.3}, {'code': 'm5Qqp4k', 'title': '하이큐!! 승자와 패자', 'year': 2015, 'genres': ['스포츠', '애니메이션'], 'ratings_avg': 4.3}, {'code': 'mjO0zL5', 'title': '대부', 'year': 1972, 'genres': ['범죄', '드라마', '스릴러'], 'ratings_avg': 4.3}, {'code': 'm5r0pVO', 'title': '12인의 노한 사람들', 'year': 1997, 'genres': ['드라마', '범죄'], 'ratings_avg': 4.2}, {'code': 'm15GKp5', 'title': '레옹', 'year': 1994, 'genres': ['액션', '범죄', '드라마', '스릴러'], 'ratings_avg': 4.2}]"
8nPvyYQRPPvYo,"[{'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 4.5}, {'movie_code': 'm5x1lMq', 'movie_title': '미안해요, 리키', 'movie_rating': 4.5}, {'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 3.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 5.0}, {'movie_code': 'mdja2ZN', 'movie_title': '아이리시맨', 'movie_rating': 4.5}, {'movie_code': 'm5DGP37', 'movie_title': '가버나움', 'movie_rating': 4.5}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 4.5}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 5.0}]","[{'code': 'mWvkk73', 'title': '리차드 쥬얼', 'year': 2019, 'genres': ['드라마'], 'ratings_avg': 3.5}, {'code': 'm5aVG7D', 'title': '이제 그만 끝낼까 해', 'year': 2020, 'genres': ['스릴러', '드라마', '공포'], 'ratings_avg': 4.6}, {'code': 'm5QA6GD', 'title': '테넷', 'year': 2020, 'genres': ['액션', 'SF'], 'ratings_avg': 4.0}, {'code': 'mWvqk9E', 'title': '바빌론', 'year': 2021, 'genres': ['드라마'], 'ratings_avg': 2.9}, {'code': 'md6B3Ad', 'title': '대부 일대기', 'year': 1992, 'genres': ['드라마', '범죄'], 'ratings_avg': 4.4}, {'code': 'mV539wO', 'title': '인생은 아름다워', 'year': 1997, 'genres': ['드라마', '코미디'], 'ratings_avg': 4.4}, {'code': 'mdKjQeO', 'title': '철서구 2부 - 폐허', 'year': 2003, 'genres': ['다큐멘터리'], 'ratings_avg': 4.4}, {'code': 'm5meEm5', 'title': '철서구 3부 - 철로', 'year': 2003, 'genres': ['다큐멘터리'], 'ratings_avg': 4.3}, {'code': 'mWLPZDW', 'title': '철서구 1부 - 녹', 'year': 2003, 'genres': ['다큐멘터리'], 'ratings_avg': 4.3}, {'code': 'mNdKazW', 'title': '사탄탱고', 'year': 1994, 'genres': ['드라마'], 'ratings_avg': 4.2}]"
yKZx3Q9PEv4dJ,"[{'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 4.0}, {'movie_code': 'm5x1lMq', 'movie_title': '미안해요, 리키', 'movie_rating': 3.5}, {'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 3.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.5}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 5.0}, {'movie_code': 'm5DGP37', 'movie_title': '가버나움', 'movie_rating': 4.0}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 4.5}, {'movie_code': 'mdRL4eL', 'movie_title': '기생충', 'movie_rating': 4.5}]","[{'code': 'mOPV7VD', 'title': '인비저블맨', 'year': 2020, 'genres': ['공포', 'SF', '스릴러'], 'ratings_avg': 3.2}, {'code': 'm5QA6GD', 'title': '테넷', 'year': 2020, 'genres': ['액션', 'SF'], 'ratings_avg': 4.0}, {'code': 'mdja2ZN', 'title': '아이리시맨', 'year': 2019, 'genres': ['범죄', '드라마'], 'ratings_avg': 3.9}, {'code': 'mNdKazW', 'title': '사탄탱고', 'year': 1994, 'genres': ['드라마'], 'ratings_avg': 4.2}, {'code': 'mO2x9k5', 'title': '어바웃 타임', 'year': 2013, 'genres': ['판타지', '드라마', '로맨틱코미디', '코미디', '로맨스'], 'ratings_avg': 4.3}, {'code': 'mdBD0MD', 'title': '소년 아메드', 'year': 2019, 'genres': ['드라마'], 'ratings_avg': 3.6}, {'code': 'mWw3L0m', 'title': '파바로티', 'year': 2019, 'genres': ['다큐멘터리', '음악'], 'ratings_avg': 3.4}, {'code': 'm5XK6PL', 'title': '작은 아씨들', 'year': 2019, 'genres': ['드라마'], 'ratings_avg': 4.0}, {'code': 'mOPpNlO', 'title': '비긴 어게인', 'year': 2013, 'genres': ['코미디', '드라마', '음악', '로맨스'], 'ratings_avg': 4.1}, {'code': 'mO2MoxW', 'title': '선라이즈', 'year': 1927, 'genres': ['로맨스'], 'ratings_avg': 4.1}]"
DgwxAeQYNxrMj,"[{'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 4.5}, {'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 3.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.0}, {'movie_code': 'mdKjQeO', 'movie_title': '철서구 2부 - 폐허', 'movie_rating': 4.5}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.0}, {'movie_code': 'm5meEm5', 'movie_title': '철서구 3부 - 철로', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 5.0}, {'movie_code': 'mdja2ZN', 'movie_title': '아이리시맨', 'movie_rating': 5.0}, {'movie_code': 'm5DGP37', 'movie_title': '가버나움', 'movie_rating': 3.5}]",[]
a9L5PwPPOvwg8,"[{'movie_code': 'mOPV7VD', 'movie_title': '인비저블맨', 'movie_rating': 3.5}, {'movie_code': 'm5Q9Zg8', 'movie_title': '조커', 'movie_rating': 4.0}, {'movie_code': 'm5Q9ZMR', 'movie_title': '터미네이터: 다크 페이트', 'movie_rating': 3.0}, {'movie_code': 'mNdKBkO', 'movie_title': '쇼생크 탈출', 'movie_rating': 4.0}, {'movie_code': 'mV539wO', 'movie_title': '인생은 아름다워', 'movie_rating': 4.5}, {'movie_code': 'mW4L2XW', 'movie_title': '인셉션', 'movie_rating': 4.5}, {'movie_code': 'mJOVXR5', 'movie_title': '다크 나이트', 'movie_rating': 4.0}, {'movie_code': 'mdja2ZN', 'movie_title': '아이리시맨', 'movie_rating': 4.5}, {'movie_code': 'm5DGP37', 'movie_title': '가버나움', 'movie_rating': 4.0}, {'movie_code': 'mJ5x8x5', 'movie_title': '타이타닉', 'movie_rating': 4.0}]","[{'code': 'mOl3VlW', 'title': '세이사쿠의 아내', 'year': 1965, 'genres': ['로맨스', '드라마'], 'ratings_avg': 4.0}, {'code': 'mOgjQxa', 'title': '내 몸이 사라졌다', 'year': 2019, 'genres': ['드라마', '애니메이션'], 'ratings_avg': 3.4}, {'code': 'm53ErjO', 'title': '란', 'year': 1985, 'genres': ['전쟁', '드라마'], 'ratings_avg': 4.1}, {'code': 'm5Yl47d', 'title': '귀신이 온다', 'year': 2000, 'genres': ['전쟁', '드라마'], 'ratings_avg': 4.0}, {'code': 'mOPDLDO', 'title': '소서러', 'year': 1977, 'genres': ['액션', '스릴러'], 'ratings_avg': 4.0}, {'code': 'mAOlELd', 'title': '선셋 대로', 'year': 1950, 'genres': ['드라마', '범죄'], 'ratings_avg': 4.0}, {'code': 'm85X415', 'title': '비정성시', 'year': 1989, 'genres': ['드라마'], 'ratings_avg': 4.0}, {'code': 'm5GJKvd', 'title': '타인의 얼굴', 'year': 1966, 'genres': ['드라마'], 'ratings_avg': 3.9}, {'code': 'md7REeO', 'title': '벌집의 정령', 'year': 1973, 'genres': ['판타지', '드라마'], 'ratings_avg': 4.1}, {'code': 'm5Dwwed', 'title': '화니와 알렉산더', 'year': 1982, 'genres': ['판타지', '드라마', '스릴러'], 'ratings_avg': 3.9}]"
