title,content_type,ratings_avg,movie_code
대부 일대기,movies,4.4,md6B3Ad
쇼생크 탈출,movies,4.4,mNdKBkO
인생은 아름다워,movies,4.4,mV539wO
하이큐!! 콘셉트의 싸움,movies,4.4,mW4LYBo
12인의 노한 사람들,movies,4.2,m5r0pVO
인셉션,movies,4.4,mW4L2XW
하이큐!! 재능과 센스,movies,4.4,m5ZX3Xe
다크 나이트,movies,4.3,mJOVXR5
타이타닉,movies,4.3,mJ5x8x5
대부 일대기,movies,4.4,md6B3Ad
쇼생크 탈출,movies,4.4,mNdKBkO
인생은 아름다워,movies,4.4,mV539wO
하이큐!! 콘셉트의 싸움,movies,4.4,mW4LYBo
12인의 노한 사람들,movies,4.2,m5r0pVO
인셉션,movies,4.4,mW4L2XW
하이큐!! 재능과 센스,movies,4.4,m5ZX3Xe
다크 나이트,movies,4.3,mJOVXR5
타이타닉,movies,4.3,mJ5x8x5
레미제라블 25주년 런던 라이브 공연,movies,4.3,mO0gZ9x
가버나움,movies,4.3,m5DGP37
센과 치히로의 행방불명,movies,4.3,my5YGwO
기생충,movies,4.3,mdRL4eL
포레스트 검프,movies,4.3,mY5QvGW
시네마 천국,movies,4.3,m1WwY4d
레옹,movies,4.2,m15GKp5
대부,movies,4.3,mjO0zL5
어바웃 타임,movies,4.3,mO2x9k5
타이타닉,movies,4.2,m5r0koO
인터스텔라,movies,4.2,mO2p7x5
어벤져스: 엔드게임,movies,4.2,mdBzNnP
죽은 시인의 사회,movies,4.2,mjO0ovW
트루먼 쇼,movies,4.2,mLOPKgW
대부 2,movies,4.2,mYdEXlO
어느 가족,movies,4.1,m5nQX33
12명의 성난 사람들,movies,4.2,mdBzxzd
하이큐!! 승자와 패자,movies,4.3,m5Qqp4k
하울의 움직이는 성,movies,4.2,mJOV1RW
매트릭스,movies,4.2,mJ5xwgd
김복동,movies,4.1,mOVPqMN
신세계,movies,4.2,m5e8v3d
욤욤 공주와 도둑,movies,4.1,mOVGPYd
굿 윌 헌팅,movies,4.2,mnWJyx5
원더,movies,4.2,mO0gNVR
달,movies,4.2,mO1D8PW
천국과 지옥,movies,4.1,md6R8Zd
클로즈 업,movies,4.2,m5aKVNO
유주얼 서스펙트,movies,4.2,mdRLE4W
