title,director,content_type,genres,nation,year,ratings_avg,movie_code
주디,['루퍼트 굴드'],movies,"['드라마', '역사']",미국,2019,3.4,mOopxZk
더 페이버릿: 여왕의 여자,['요르고스 란티모스'],movies,"['드라마', '역사']",아일랜드,2018,3.9,mOgB16n
쓰리 빌보드,['마틴 맥도나'],movies,"['범죄', '드라마']",미국,2017,4.0,m5nQKYy
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
룸,['레니 에이브러햄슨'],movies,"['드라마', '스릴러']",캐나다,2015,3.8,mWqJMnp
스틸 앨리스,"['리처드 글랫저', '워시 웨스트모어랜드']",movies,['드라마'],미국,2014,3.7,mdMgLq4
블루 재스민,['우디 앨런'],movies,['드라마'],미국,2013,3.8,m5rQGMm
실버라이닝 플레이북,['데이비드 O. 러셀'],movies,"['코미디', '드라마', '로맨스']",미국,2012,3.7,mWq9waW
철의 여인,['필리다 로이드'],movies,"['드라마', '시대극']",영국,2011,3.3,mdEvBm5
주디,['루퍼트 굴드'],movies,"['드라마', '역사']",미국,2019,3.4,mOopxZk
더 페이버릿: 여왕의 여자,['요르고스 란티모스'],movies,"['드라마', '역사']",아일랜드,2018,3.9,mOgB16n
쓰리 빌보드,['마틴 맥도나'],movies,"['범죄', '드라마']",미국,2017,4.0,m5nQKYy
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
룸,['레니 에이브러햄슨'],movies,"['드라마', '스릴러']",캐나다,2015,3.8,mWqJMnp
스틸 앨리스,"['리처드 글랫저', '워시 웨스트모어랜드']",movies,['드라마'],미국,2014,3.7,mdMgLq4
블루 재스민,['우디 앨런'],movies,['드라마'],미국,2013,3.8,m5rQGMm
실버라이닝 플레이북,['데이비드 O. 러셀'],movies,"['코미디', '드라마', '로맨스']",미국,2012,3.7,mWq9waW
철의 여인,['필리다 로이드'],movies,"['드라마', '시대극']",영국,2011,3.3,mdEvBm5
블랙 스완,['대런 아로노프스키'],movies,"['드라마', '스릴러']",미국,2010,3.9,mObGNRd
블라인드 사이드,['존 리 행콕'],movies,['드라마'],미국,2009,4.0,mMO2axW
더 리더: 책 읽어주는 남자,['스티븐 달드리'],movies,"['로맨스', '드라마']",미국,2008,3.7,mNdKveO
라 비 앙 로즈,['올리비에 다한'],movies,"['드라마', '음악', '로맨스']",프랑스,2007,3.8,mmObGkd
더 퀸,['스티븐 프리어스'],movies,['드라마'],프랑스,2006,3.3,mwWLk5a
앙코르,['제임스 맨골드'],movies,"['로맨스', '드라마']",미국,2005,3.4,m45nby5
밀리언 달러 베이비,['클린트 이스트우드'],movies,"['드라마', '스포츠']",미국,2004,3.8,mv5a6vW
몬스터,['패티 젠킨스'],movies,"['범죄', '드라마', '스릴러']",독일,2003,3.6,m9dBxqW
디 아워스,['스티븐 달드리'],movies,['드라마'],미국,2002,3.7,mZ5eJLW
몬스터 볼,['마크 포스터'],movies,"['로맨스', '드라마']",미국,2001,3.3,m5ZaYVd
에린 브로코비치,['스티븐 소더버그'],movies,['드라마'],미국,2000,3.7,mr5ZZ95
소년은 울지 않는다,['킴벌리 피어스'],movies,"['드라마', '범죄']",미국,1999,3.7,mQO8vG5
셰익스피어 인 러브,['존 매든'],movies,"['코미디', '드라마', '역사', '로맨스']",영국,1998,3.5,mBOk28W
이보다 더 좋을 순 없다,['제임스 L. 브룩스'],movies,"['로맨스', '코미디', '드라마']",미국,1997,3.9,mY5Qb4W
파고,['조엘 코엔'],movies,"['범죄', '드라마', '스릴러', '코미디']",영국,1996,3.9,mVWzzVW
데드 맨 워킹,['팀 로빈스'],movies,['드라마'],미국,1995,3.7,myWqjaO
블루 스카이,['토니 리처드슨'],movies,"['드라마', '로맨스']",미국,1994,2.8,mWpQa4O
피아노,['제인 캠피온'],movies,"['드라마', '음악', '로맨스']",뉴질랜드,1993,3.7,mAOlBL5
하워즈 엔드,['제임스 아이보리'],movies,"['드라마', '로맨스']",영국,1992,3.2,m9dB8AW
양들의 침묵,['조나단 드미'],movies,"['드라마', '범죄', '공포', '스릴러']",미국,1991,4.0,mOo01Ld
미저리,['롭 라이너'],movies,"['공포', '드라마', '스릴러']",미국,1990,3.7,mP5m3GO
드라이빙 미스 데이지,['브루스 베레스포드'],movies,"['코미디', '드라마']",미국,1989,3.6,m15GQrO
피고인,['조나단 카프란'],movies,"['드라마', '스릴러']",미국,1988,3.5,mO2MBkW
문스트럭,['노만 주이슨'],movies,"['로맨틱코미디', '드라마']",미국,1987,3.3,mOAZ2Xd
작은 신의 아이들,['랜다 헤인즈'],movies,['드라마'],미국,1986,3.3,mQO89ed
바운티풀 가는 길,['피터 매스터슨'],movies,['드라마'],미국,1985,3.7,mWp6q6d
마음의 고향,['로버트 벤튼'],movies,['드라마'],미국,1984,3.8,mdMaDXd
애정의 조건,['제임스 L. 브룩스'],movies,"['코미디', '드라마']",미국,1983,3.5,mO8KDXW
소피의 선택,['앨런 J. 파큘라'],movies,"['로맨스', '드라마']",미국,1982,3.6,mBOkopO
황금 연못,['마크 라이델'],movies,['드라마'],미국,1981,3.8,myWq9aW
광부의 딸,['마이클 앱티드'],movies,['드라마'],미국,1980,3.6,mE5DmQW
노마 레이,['마틴 리트'],movies,['드라마'],미국,1979,3.8,mdjD8zW
귀향,['할 애쉬비'],movies,"['전쟁', '드라마']",미국,1978,3.5,mO1yrkO
애니 홀,['우디 앨런'],movies,['로맨틱코미디'],미국,1977,3.8,mr5Za6d
네트워크,['시드니 루멧'],movies,"['드라마', '코미디']",미국,1976,3.7,mW4gvR5
뻐꾸기 둥지 위로 날아간 새,['밀로스 포먼'],movies,"['범죄', '드라마']",미국,1975,4.1,mDWvped
엘리스는 이제 여기 살지 않는다,['마틴 스콜세지'],movies,['드라마'],미국,1974,3.5,mdKgPVd
주말의 사랑,['멜빈 프랭크'],movies,['코미디'],영국,1973,2.7,mWy6krO
캬바레,['밥 포시'],movies,"['전쟁', '드라마']",미국,1972,3.9,m5XjJLO
콜걸,['앨런 J. 파큘라'],movies,"['범죄', '액션', '드라마', '스릴러']",미국,1971,3.2,mO892xd
사랑하는 여인들,['켄 러셀'],movies,"['로맨스', '드라마']",영국,1969,3.2,m5DgkDd
미스 진 브로디의 전성기,['로널드 님'],movies,"['로맨틱코미디', '드라마']",영국,1969,3.3,mWL84zW
겨울의 라이온,['안소니 하비'],movies,['드라마'],영국,1968,3.6,m5GyAYO
