title,director,content_type,genres,nation,year,ratings_avg,movie_code
1917,['샘 멘데스'],movies,"['드라마', '전쟁']",영국,2019,4.2,m5xw62g
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
블레이드 러너 2049,['드니 빌뇌브'],movies,"['액션', '드라마', '미스터리', 'SF', '스릴러']",미국,2017,3.7,m5ng0DW
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
레버넌트: 죽음에서 돌아온 자,['알레한드로 곤잘레스 이냐리투'],movies,"['액션', '모험', '드라마', '서부극']",대만,2015,3.7,mdjaXmw
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그래비티,['알폰소 쿠아론'],movies,"['SF', '드라마', '스릴러']",미국,2013,4.0,mOoyZZ5
라이프 오브 파이,['이안'],movies,"['판타지', '드라마', '모험']",미국,2012,4.0,mOAVmGd
휴고,['마틴 스콜세지'],movies,"['모험', '드라마', '가족', '판타지', '미스터리', '로맨스']",미국,2011,3.4,mdEmlmd
1917,['샘 멘데스'],movies,"['드라마', '전쟁']",영국,2019,4.2,m5xw62g
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
블레이드 러너 2049,['드니 빌뇌브'],movies,"['액션', '드라마', '미스터리', 'SF', '스릴러']",미국,2017,3.7,m5ng0DW
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
레버넌트: 죽음에서 돌아온 자,['알레한드로 곤잘레스 이냐리투'],movies,"['액션', '모험', '드라마', '서부극']",대만,2015,3.7,mdjaXmw
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그래비티,['알폰소 쿠아론'],movies,"['SF', '드라마', '스릴러']",미국,2013,4.0,mOoyZZ5
라이프 오브 파이,['이안'],movies,"['판타지', '드라마', '모험']",미국,2012,4.0,mOAVmGd
휴고,['마틴 스콜세지'],movies,"['모험', '드라마', '가족', '판타지', '미스터리', '로맨스']",미국,2011,3.4,mdEmlmd
인셉션,['크리스토퍼 놀란'],movies,"['액션', '모험', 'SF', '스릴러']",미국,2010,4.4,mW4L2XW
아바타,['제임스 카메론'],movies,"['SF', '액션', '판타지', '모험']",영국,2009,3.9,m5rQoRd
슬럼독 밀리어네어,['대니 보일'],movies,"['드라마', '로맨스', '스릴러']",영국,2008,3.9,mO2MvNW
데어 윌 비 블러드,['폴 토마스 앤더슨'],movies,['드라마'],미국,2007,4.1,m5nQ7nd
