title,director,content_type,genres,nation,year,ratings_avg,movie_code
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],movies,"['모험', '스릴러', '판타지', '로맨스', '드라마']",미국,2017,3.9,m5xJxeB
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
레버넌트: 죽음에서 돌아온 자,['알레한드로 곤잘레스 이냐리투'],movies,"['액션', '모험', '드라마', '서부극']",대만,2015,3.7,mdjaXmw
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그래비티,['알폰소 쿠아론'],movies,"['SF', '드라마', '스릴러']",미국,2013,4.0,mOoyZZ5
라이프 오브 파이,['이안'],movies,"['판타지', '드라마', '모험']",미국,2012,4.0,mOAVmGd
아티스트,['미셀 하자나비시우스'],movies,"['코미디', '드라마', '로맨스']",미국,2011,3.8,mWzDwBd
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],movies,"['모험', '스릴러', '판타지', '로맨스', '드라마']",미국,2017,3.9,m5xJxeB
라라랜드,['데미언 셔젤'],movies,"['코미디', '드라마', '음악', '로맨스']",미국,2016,4.1,m5GXz42
레버넌트: 죽음에서 돌아온 자,['알레한드로 곤잘레스 이냐리투'],movies,"['액션', '모험', '드라마', '서부극']",대만,2015,3.7,mdjaXmw
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그래비티,['알폰소 쿠아론'],movies,"['SF', '드라마', '스릴러']",미국,2013,4.0,mOoyZZ5
라이프 오브 파이,['이안'],movies,"['판타지', '드라마', '모험']",미국,2012,4.0,mOAVmGd
아티스트,['미셀 하자나비시우스'],movies,"['코미디', '드라마', '로맨스']",미국,2011,3.8,mWzDwBd
킹스 스피치,['톰 후퍼'],movies,"['드라마', '역사']",영국,2010,3.7,mY5QLkd
허트 로커,['캐서린 비글로우'],movies,"['드라마', '스릴러', '전쟁']",미국,2008,3.8,mwWLm0O
슬럼독 밀리어네어,['대니 보일'],movies,"['드라마', '로맨스', '스릴러']",영국,2008,3.9,mO2MvNW
노인을 위한 나라는 없다,"['에단 코엔', '조엘 코엔']",movies,"['범죄', '스릴러', '드라마']",미국,2007,4.0,m5XMJ1W
디파티드,['마틴 스콜세지'],movies,"['스릴러', '드라마', '범죄', '액션']",미국,2006,3.7,m2djMzO
브로크백 마운틴,['이안'],movies,"['드라마', '로맨스']",미국,2005,3.8,mV53qOy
밀리언 달러 베이비,['클린트 이스트우드'],movies,"['드라마', '스포츠']",미국,2004,3.8,mv5a6vW
반지의 제왕 : 왕의 귀환,['피터 잭슨'],movies,"['판타지', '드라마', '액션', '전쟁', '모험']",미국,2003,4.2,m45ngDW
피아니스트,['로만 폴란스키'],movies,"['드라마', '음악', '전쟁']",독일,2002,4.1,mBOkGJO
뷰티풀 마인드,['론 하워드'],movies,['드라마'],미국,2001,3.9,my5YQ5w
트래픽,['스티븐 소더버그'],movies,"['범죄', '드라마', '스릴러']",미국,2000,3.5,mWvD2Md
아메리칸 뷰티,['샘 멘데스'],movies,"['드라마', '코미디']",미국,1999,3.8,mnWJ03d
라이언 일병 구하기,['스티븐 스필버그'],movies,"['전쟁', '액션', '드라마']",미국,1998,4.1,mYdE4GO
타이타닉,['제임스 카메론'],movies,"['로맨스', '드라마']",미국,1997,4.3,mJ5x8x5
잉글리쉬 페이션트,['안소니 밍겔라'],movies,"['로맨스', '전쟁', '드라마']",영국,1996,3.6,mM5rJ35
브레이브하트,['멜 깁슨'],movies,"['드라마', '역사', '전쟁']",미국,1995,4.0,m45neYd
포레스트 검프,['로버트 저메키스'],movies,"['드라마', '로맨스', '코미디']",미국,1994,4.3,mY5QvGW
쉰들러 리스트,['스티븐 스필버그'],movies,"['드라마', '역사', '전쟁']",미국,1993,4.2,moW4XlW
용서받지 못한 자,['클린트 이스트우드'],movies,"['서부극', '드라마', '범죄']",미국,1992,3.8,m5epaZd
양들의 침묵,['조나단 드미'],movies,"['드라마', '범죄', '공포', '스릴러']",미국,1991,4.0,mOo01Ld
늑대와 춤을,['케빈 코스트너'],movies,"['모험', '서부극', '드라마']",영국,1990,3.9,m85XVzO
7월 4일생,['올리버 스톤'],movies,"['전쟁', '드라마']",미국,1989,3.5,m1WwgEW
레인 맨,['베리 레빈슨'],movies,['드라마'],미국,1988,4.0,mqW9A4W
마지막 황제,['베르나르도 베르톨루치'],movies,"['시대극', '드라마']",미국,1987,3.8,mOkN7QW
플래툰,['올리버 스톤'],movies,"['드라마', '전쟁']",미국,1986,3.9,mO8KXeW
아웃 오브 아프리카,['시드니 폴락'],movies,"['드라마', '로맨스']",미국,1985,3.8,mWqJblO
아마데우스,['밀로스 포먼'],movies,"['음악', '드라마']",미국,1984,4.0,mr5ZXlO
애정의 조건,['제임스 L. 브룩스'],movies,"['코미디', '드라마']",미국,1983,3.5,mO8KDXW
간디,['리처드 애튼버러'],movies,['드라마'],영국,1982,3.4,mnOoya5
레즈,['워렌 비티'],movies,"['역사', '드라마', '로맨스']",미국,1981,3.6,mJO19YO
보통 사람들,['로버트 레드포드'],movies,['드라마'],미국,1980,3.5,mOo6XkW
크레이머 대 크레이머,['로버트 벤튼'],movies,['드라마'],미국,1979,3.7,m1d69XO
디어 헌터,['마이클 치미노'],movies,"['공포', '전쟁', '드라마']",미국,1978,3.8,mY5QglO
애니 홀,['우디 앨런'],movies,['로맨틱코미디'],미국,1977,3.8,mr5Za6d
록키,['존 G. 아빌드센'],movies,"['스포츠', '드라마']",미국,1976,3.9,mdK6e1O
뻐꾸기 둥지 위로 날아간 새,['밀로스 포먼'],movies,"['범죄', '드라마']",미국,1975,4.1,mDWvped
대부 2,['프란시스 포드 코폴라'],movies,"['드라마', '범죄']",미국,1974,4.2,mYdEXlO
스팅,['조지 로이 힐'],movies,"['범죄', '드라마', '코미디']",미국,1973,4.0,m533D65
캬바레,['밥 포시'],movies,"['전쟁', '드라마']",미국,1972,3.9,m5XjJLO
프렌치 커넥션,['윌리엄 프리드킨'],movies,"['범죄', '액션', '스릴러']",미국,1971,3.7,mO0qMzd
패튼 대전차 군단,['프랭크린 J. 샤프너'],movies,"['전쟁', '드라마']",미국,1970,3.5,mOo0Qad
미드나잇 카우보이,['존 슐레진저'],movies,['드라마'],미국,1969,3.8,mYdE0VO
올리버,['캐럴 리드'],movies,"['가족', '드라마']",영국,1968,3.7,m5na63d
졸업,['마이크 니콜스'],movies,"['코미디', '드라마', '로맨스']",미국,1967,3.8,mqW9kZd
사계의 사나이,['프레드 진네만'],movies,['드라마'],영국,1966,2.7,m5XgzAd
사운드 오브 뮤직,['로버트 와이즈'],movies,"['드라마', '가족', '로맨스']",미국,1965,4.1,mVWzgZO
마이 페어 레이디,['조지 쿠커'],movies,"['가족', '로맨스', '드라마']",미국,1964,3.7,mn5NpaO
톰 존스의 화려한 모험,['토니 리처드슨'],movies,['로맨틱코미디'],영국,1963,3.1,md7nGNO
아라비아의 로렌스,['데이비드 린'],movies,"['전쟁', '드라마', '모험']",영국,1962,3.8,mdj01oW
웨스트 사이드 스토리,"['제롬 로빈스', '로버트 와이즈']",movies,"['음악', '드라마', '범죄', '로맨스']",미국,1961,3.6,mDWvXDd
아파트 열쇠를 빌려드립니다,['빌리 와일더'],movies,"['로맨틱코미디', '드라마', '코미디']",미국,1960,3.9,mv5avjW
벤허,['윌리엄 와일러'],movies,"['모험', '역사', '로맨스', '드라마', '액션']",미국,1959,4.0,mdRLYKW
지지,['빈센트 미넬리'],movies,['로맨틱코미디'],미국,1958,2.7,mOkvbEW
콰이강의 다리,['데이비드 린'],movies,"['전쟁', '드라마']",영국,1957,3.7,mdRLygW
자이언트,['조지 스티븐스'],movies,['드라마'],미국,1956,3.8,m53Rond
마티,['델버트 맨'],movies,"['로맨틱코미디', '드라마']",미국,1955,3.0,mOkvkJW
워터프론트,['엘리아 카잔'],movies,"['드라마', '범죄', '로맨스']",미국,1954,3.6,mO8K13W
