title,director,content_type,genres,nation,year,ratings_avg,movie_code
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
그린 북,['피터 패럴리'],movies,"['코미디', '드라마', '음악']",미국,2018,4.2,mWyJ9BK
겟 아웃,['조던 필'],movies,"['스릴러', '공포', '미스터리', '드라마']",미국,2017,3.7,mdKBMrJ
맨체스터 바이 더 씨,['케네스 로너건'],movies,['드라마'],미국,2016,3.9,m5aVlPj
스포트라이트,['톰 맥카시'],movies,"['드라마', '스릴러']",미국,2015,4.0,m5xJZE3
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그녀,['스파이크 존즈'],movies,"['드라마', '로맨스', 'SF']",미국,2013,3.9,mWyzmNO
장고: 분노의 추적자,['쿠엔틴 타란티노'],movies,"['서부극', '액션', '드라마']",미국,2012,3.9,mdKy7RW
미드나잇 인 파리,['우디 앨런'],movies,"['코미디', '판타지', '로맨스', '로맨틱코미디']",미국,2011,3.9,m5XBN4O
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
그린 북,['피터 패럴리'],movies,"['코미디', '드라마', '음악']",미국,2018,4.2,mWyJ9BK
겟 아웃,['조던 필'],movies,"['스릴러', '공포', '미스터리', '드라마']",미국,2017,3.7,mdKBMrJ
맨체스터 바이 더 씨,['케네스 로너건'],movies,['드라마'],미국,2016,3.9,m5aVlPj
스포트라이트,['톰 맥카시'],movies,"['드라마', '스릴러']",미국,2015,4.0,m5xJZE3
버드맨,['알레한드로 곤잘레스 이냐리투'],movies,"['드라마', '코미디']",미국,2014,3.9,m5QqjP8
그녀,['스파이크 존즈'],movies,"['드라마', '로맨스', 'SF']",미국,2013,3.9,mWyzmNO
장고: 분노의 추적자,['쿠엔틴 타란티노'],movies,"['서부극', '액션', '드라마']",미국,2012,3.9,mdKy7RW
미드나잇 인 파리,['우디 앨런'],movies,"['코미디', '판타지', '로맨스', '로맨틱코미디']",미국,2011,3.9,m5XBN4O
킹스 스피치,['톰 후퍼'],movies,"['드라마', '역사']",영국,2010,3.7,mY5QLkd
허트 로커,['캐서린 비글로우'],movies,"['드라마', '스릴러', '전쟁']",미국,2008,3.8,mwWLm0O
밀크,['구스 반 산트'],movies,['드라마'],미국,2008,3.5,mAOl6A5
주노,['제이슨 라이트만'],movies,"['코미디', '드라마']",미국,2007,3.3,mdRLXvW
미스 리틀 선샤인,"['조나단 데이턴', '발레리 페리스']",movies,"['드라마', '코미디']",미국,2006,3.9,m2djpoW
