title,director,content_type,genres,nation,year,ratings_avg,movie_code
데어 이즈 노 이블,['모함마드 라술로프'],movies,['드라마'],독일,2020,4.3,mOPVxk7
시너님스,['나다브 라피드'],movies,['드라마'],프랑스,2019,3.3,mOlwRXN
터치 미 낫,['애디너 핀틸리'],movies,['드라마'],루마니아,2018,2.9,m5Qq9mQ
우리는 같은 꿈을 꾼다,['일디코 엔예디'],movies,"['로맨스', '드라마']",헝가리,2017,3.6,mdBzMpp
화염의 바다,['지안프란코 로시'],movies,['다큐멘터리'],이탈리아,2015,3.4,mdMg7Yw
택시,['자파르 파나히'],movies,"['코미디', '드라마']",이란,2015,3.7,mWvk6pr
백일염화,['디아오 이난'],movies,"['드라마', '스릴러', '범죄']",중국,2014,3.4,m5aVV4q
아들의 자리,['칼린 페터 네쩌'],movies,['드라마'],루마니아,2013,3.4,mOARaXd
시저는 죽어야 한다,"['비토리오 타비아니', '파올로 타비아니']",movies,['드라마'],이탈리아,2012,3.6,mOA6XXd
데어 이즈 노 이블,['모함마드 라술로프'],movies,['드라마'],독일,2020,4.3,mOPVxk7
시너님스,['나다브 라피드'],movies,['드라마'],프랑스,2019,3.3,mOlwRXN
터치 미 낫,['애디너 핀틸리'],movies,['드라마'],루마니아,2018,2.9,m5Qq9mQ
우리는 같은 꿈을 꾼다,['일디코 엔예디'],movies,"['로맨스', '드라마']",헝가리,2017,3.6,mdBzMpp
화염의 바다,['지안프란코 로시'],movies,['다큐멘터리'],이탈리아,2015,3.4,mdMg7Yw
택시,['자파르 파나히'],movies,"['코미디', '드라마']",이란,2015,3.7,mWvk6pr
백일염화,['디아오 이난'],movies,"['드라마', '스릴러', '범죄']",중국,2014,3.4,m5aVV4q
아들의 자리,['칼린 페터 네쩌'],movies,['드라마'],루마니아,2013,3.4,mOARaXd
시저는 죽어야 한다,"['비토리오 타비아니', '파올로 타비아니']",movies,['드라마'],이탈리아,2012,3.6,mOA6XXd
씨민과 나데르의 별거,['아쉬가르 파르하디'],movies,"['드라마', '스릴러']",이란,2011,4.0,mOgDvAd
허니,['세미 카플라노글루'],movies,['드라마'],터키,2010,3.6,mWyY7MW
밀크 오브 소로우 - 슬픈 모유,['클로디아 로사'],movies,"['드라마', '음악']",스페인,2009,3.6,m5Y6K7W
엘리트 스쿼드,['호제 파딜라'],movies,"['액션', '범죄']",미국,2007,3.8,m5xJR3O
투야의 결혼,['왕지안'],movies,"['로맨스', '드라마']",중국,2006,3.5,mn5NK7W
그르바비차,['야스밀라 즈바니치'],movies,"['전쟁', '드라마']",보스니아 헤르체고비나,2005,3.6,mY5QjlW
카르멘,['마크 돈포드 메이'],movies,"['로맨스', '드라마']",남아프리카 공화국,2005,3.6,md7ja8O
미치고 싶을 때,['파티 아킨'],movies,"['드라마', '로맨스']",독일,2004,3.5,mgOAYlO
인 디스 월드,['마이클 윈터버텀'],movies,['드라마'],영국,2002,3.8,mBOkLMd
센과 치히로의 행방불명,['미야자키 하야오'],movies,"['판타지', '애니메이션', '가족']",일본,2001,4.3,my5YGwO
블러디 선데이,['폴 그린그래스'],movies,['드라마'],영국,2002,3.7,m2djarO
