title,director,content_type,genres,nation,year,ratings_avg,movie_code
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
어느 가족,['고레에다 히로카즈'],movies,"['범죄', '드라마']",일본,2018,4.1,m5nQX33
더 스퀘어,['루벤 외스틀룬드'],movies,"['드라마', '코미디']",덴마크,2017,3.6,mdjaMPa
"나, 다니엘 블레이크",['켄 로치'],movies,['드라마'],영국,2016,4.1,mOPomg7
디판,['자크 오디아르'],movies,"['범죄', '드라마']",프랑스,2015,3.4,m5nQ4Dy
윈터 슬립,['누리 빌게 제일란'],movies,['드라마'],터키,2014,3.6,mOo0Gxk
"가장 따뜻한 색, 블루",['압델라티프 케시시'],movies,"['드라마', '로맨스']",프랑스,2013,3.8,mWvLZEd
아무르,['미카엘 하네케 '],movies,"['드라마', '로맨스']",독일,2012,3.9,mW48wPW
트리 오브 라이프,['테렌스 맬릭'],movies,"['드라마', '판타지']",미국,2011,3.4,m5xwNjd
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
어느 가족,['고레에다 히로카즈'],movies,"['범죄', '드라마']",일본,2018,4.1,m5nQX33
더 스퀘어,['루벤 외스틀룬드'],movies,"['드라마', '코미디']",덴마크,2017,3.6,mdjaMPa
"나, 다니엘 블레이크",['켄 로치'],movies,['드라마'],영국,2016,4.1,mOPomg7
디판,['자크 오디아르'],movies,"['범죄', '드라마']",프랑스,2015,3.4,m5nQ4Dy
윈터 슬립,['누리 빌게 제일란'],movies,['드라마'],터키,2014,3.6,mOo0Gxk
"가장 따뜻한 색, 블루",['압델라티프 케시시'],movies,"['드라마', '로맨스']",프랑스,2013,3.8,mWvLZEd
아무르,['미카엘 하네케 '],movies,"['드라마', '로맨스']",독일,2012,3.9,mW48wPW
트리 오브 라이프,['테렌스 맬릭'],movies,"['드라마', '판타지']",미국,2011,3.4,m5xwNjd
엉클 분미,['아피찻퐁 위라세타쿤'],movies,"['판타지', '드라마']",태국,2010,3.4,m9dBG95
하얀 리본,['미카엘 하네케 '],movies,"['드라마', '역사', '미스터리', '스릴러']",독일,2009,3.8,m5GXMNW
클래스,['로랑 캉테'],movies,['드라마'],프랑스,2008,3.7,mwWLGp5
"4개월, 3주... 그리고 2일",['크리스티안 문쥬'],movies,['드라마'],루마니아,2007,3.8,mLOPoXW
보리밭을 흔드는 바람,['켄 로치'],movies,"['드라마', '전쟁']",독일,2006,3.8,m5330q5
더 차일드,"['장-피에르 다르덴', '뤽 다르덴']",movies,"['범죄', '드라마', '로맨스']",벨기에,2005,3.8,mWpJLvd
화씨 9/11,['마이클 무어'],movies,"['다큐멘터리', '드라마']",미국,2004,3.5,mDWvEe5
엘리펀트,['구스 반 산트'],movies,"['드라마', '범죄']",미국,2003,3.8,mJO1vVd
피아니스트,['로만 폴란스키'],movies,"['드라마', '음악', '전쟁']",독일,2002,4.1,mBOkGJO
아들의 방,['난니 모레티'],movies,"['드라마', '가족']",이탈리아,2001,3.6,mAd7JvO
어둠 속의 댄서,['라스 폰 트리에'],movies,"['범죄', '드라마']",덴마크,2000,3.8,mE5Dr7O
로제타,"['뤽 다르덴', '장-피에르 다르덴']",movies,['드라마'],프랑스,1999,4.0,mBOkx8d
영원과 하루,['테오도로스 앙겔로플로스'],movies,['드라마'],프랑스,1998,3.8,mgOAmlO
체리향기,['압바스 키아로스타미'],movies,['드라마'],이란,1997,3.8,mv5aMQ5
우나기,['이마무라 쇼헤이'],movies,['드라마'],일본,1997,3.5,mOo1KP5
비밀과 거짓말,['마이크 리'],movies,['드라마'],영국,1996,3.8,mJ5x3bd
언더그라운드,['에밀 쿠스트리차'],movies,"['드라마', '코미디']",유고슬라비아,1995,4.0,md7ZNeO
펄프 픽션,['쿠엔틴 타란티노'],movies,"['범죄', '스릴러', '코미디']",미국,1994,4.0,mOgBDaW
패왕별희,['첸 카이거'],movies,"['드라마', '음악', '로맨스']",중국,1993,4.0,mJO1awO
피아노,['제인 캠피온'],movies,"['드라마', '음악', '로맨스']",뉴질랜드,1993,3.7,mAOlBL5
최선의 의도,['빌 어거스트'],movies,"['로맨스', '드라마']",독일,1992,3.3,m5G2Rvd
바톤 핑크,['조엘 코엔'],movies,"['코미디', '드라마']",미국,1991,3.7,myWqepW
광란의 사랑,['데이빗 린치'],movies,"['로맨틱코미디', '스릴러', '범죄']",미국,1990,3.6,mdMwAwW
섹스 거짓말 그리고 비디오테이프,['스티븐 소더버그'],movies,"['드라마', '성인']",미국,1989,3.4,my5Yaj5
정복자 펠레,['빌 어거스트'],movies,['드라마'],덴마크,1987,3.9,mMO2oQd
사탄의 태양 아래서,['모리스 피알라'],movies,['드라마'],프랑스,1987,3.5,mWy4Dy5
미션,['롤랑 조페'],movies,['드라마'],영국,1986,3.9,mgOA9GO
아빠는 출장 중,['에밀 쿠스트리차'],movies,['드라마'],null,1985,3.6,mnWJwJO
파리 텍사스,['빔 벤더스'],movies,['드라마'],독일,1984,3.9,mOPRzg5
나라야마 부시코,['이마무라 쇼헤이'],movies,['드라마'],일본,1982,3.7,m5eQV95
욜,['일마즈 귀니'],movies,"['로맨스', '드라마']",스위스,1982,3.6,mOkDgEd
의문의 실종,['코스타 가브라스'],movies,"['드라마', '스릴러']",미국,1982,3.6,mdEzM25
철의 사나이,['안제이 바이다'],movies,['드라마'],폴란드,1981,3.4,mOAaylO
올 댓 재즈,['밥 포시'],movies,"['드라마', '판타지', '음악']",미국,1979,3.7,m53zvLd
카게무샤,['구로사와 아키라'],movies,"['전쟁', '액션']",일본,1980,3.7,m5rQ4Dd
지옥의 묵시록,['프란시스 포드 코폴라'],movies,"['드라마', '전쟁']",미국,1979,3.8,md6YlgO
양철북,['폴커 슐렌도르프'],movies,"['드라마', '전쟁']",독일,1979,3.5,m2dj9NO
나막신 나무,['에르만노 올미'],movies,['드라마'],이탈리아,1978,3.7,mW9NVZO
빠드레 빠드로네,"['비토리오 타비아니', '파올로 타비아니']",movies,['드라마'],이탈리아,1977,3.6,m9dBl2W
택시 드라이버,['마틴 스콜세지'],movies,"['드라마', '스릴러']",미국,1976,4.0,mWLjGNd
불타는 해의 연대기,[],movies,[],알제리,1975,3.3,mOVoQZd
컨버세이션,['프란시스 포드 코폴라'],movies,"['범죄', '액션', '스릴러']",미국,1974,3.8,m5rooVW
하수인,['앨런 브릿지즈'],movies,[],영국,1973,3.1,mdKYaVW
허수아비,['제리 샤츠버그'],movies,['드라마'],미국,1973,3.9,m5aZkQW
천국으로 가는 노동계급,['엘리오 페트리'],movies,['드라마'],이탈리아,1971,3.4,m5mLYzd
마테이 사건,['프란체스코 로시'],movies,['드라마'],이탈리아,1972,3.2,mdBX0YW
사랑의 메신저,['조셉 로지'],movies,"['로맨스', '드라마']",영국,1971,3.2,m5naz9d
매쉬,['로버트 알트먼'],movies,"['전쟁', '드라마', '코미디']",미국,1970,3.3,m530bpW
만약,['린지 앤더슨'],movies,['드라마'],영국,1968,3.4,mdj6Qwd
욕망,['미켈란젤로 안토니오니'],movies,"['드라마', '스릴러']",이탈리아,1966,3.9,mOP7EPW
시그노르 & 시그노리,['피에트로 제르미'],movies,[],이탈리아,1965,3.1,mdj3qN5
남과 여,['끌로드 를르슈'],movies,['드라마'],프랑스,1966,3.7,mOAXQEW
낵 앤 하우 투 겟 잇,['리처드 레스터'],movies,['코미디'],영국,1965,3.1,m5nm6Yd
쉘부르의 우산,['자끄 드미'],movies,"['드라마', '로맨스']",프랑스,1964,3.7,mV53qyO
레오파드,['루키노 비스콘티'],movies,['드라마'],이탈리아,1963,3.0,mWzY305
산타 바바라의 맹세,['안셀무 두아르테'],movies,[],브라질,1962,3.1,mOlz9N5
이토록 긴 부재,['헨리 콜피'],movies,['드라마'],프랑스,1961,3.7,md690Ea
두 여인,['비토리오 데 시카'],movies,"['전쟁', '드라마']",이탈리아,1961,3.4,m5XP9L5
비리디아나,['루이스 부뉴엘'],movies,['드라마'],스페인,1961,3.9,myWqbBO
달콤한 인생,['페데리코 펠리니'],movies,['드라마'],이탈리아,1960,3.8,mO8K63W
흑인 오르페,['마르셀 까뮈'],movies,"['드라마', '판타지', '음악', '로맨스']",브라질,1959,3.5,mWJNB4W
학이 난다,['미하일 칼라토조프'],movies,"['전쟁', '드라마', '로맨스']",소련,1957,3.6,m5DlD15
우정어린 설득,['윌리엄 와일러'],movies,"['전쟁', '로맨스', '드라마']",미국,1956,3.2,mOk8lMd
침묵의 세계,"['루이 말', '자크-이브 쿠스토']",movies,['다큐멘터리'],이탈리아,1956,3.6,mOgXM0d
마티,['델버트 맨'],movies,"['로맨틱코미디', '드라마']",미국,1955,3.0,mOkvkJW
