title,director,content_type,genres,nation,year,ratings_avg,movie_code
습한 계절,['고명'],movies,['드라마'],중국,2020,2.8,md7YGpM
천 명 중의 단 한 사람,['클라리사 나바스'],movies,['드라마'],아르헨티나,2020,3.1,md7YGKp
그해 우리가 발견한 것,['루이스 로페즈 카라스코'],movies,['드라마'],스페인,2020,3.4,mdKpvQ7
아담,['마리암 투자니'],movies,['드라마'],모로코,2019,3.4,md6lj0a
갈매기,['김미조'],movies,['드라마'],한국,2020,3.6,mOAkwel
바람아 안개를 걷어가다오,['신동민'],movies,['드라마'],한국,2020,3.4,mWw3p94
파견; 나는 나를 해고하지 않는다,['이태겸'],movies,['드라마'],한국,2020,3.4,mOkLxKw
빛과 철,['배종대'],movies,['드라마'],한국,2020,3.4,mWya106
홈리스,['임승현'],movies,['드라마'],한국,2020,3.4,md7YMgP
습한 계절,['고명'],movies,['드라마'],중국,2020,2.8,md7YGpM
천 명 중의 단 한 사람,['클라리사 나바스'],movies,['드라마'],아르헨티나,2020,3.1,md7YGKp
그해 우리가 발견한 것,['루이스 로페즈 카라스코'],movies,['드라마'],스페인,2020,3.4,mdKpvQ7
아담,['마리암 투자니'],movies,['드라마'],모로코,2019,3.4,md6lj0a
갈매기,['김미조'],movies,['드라마'],한국,2020,3.6,mOAkwel
바람아 안개를 걷어가다오,['신동민'],movies,['드라마'],한국,2020,3.4,mWw3p94
파견; 나는 나를 해고하지 않는다,['이태겸'],movies,['드라마'],한국,2020,3.4,mOkLxKw
빛과 철,['배종대'],movies,['드라마'],한국,2020,3.4,mWya106
홈리스,['임승현'],movies,['드라마'],한국,2020,3.4,md7YMgP
우주의 끝,['한병아'],movies,"['애니메이션', '단편']",한국,2020,3.3,m5nX8qn
뒤로 걷기,['방성준'],movies,"['단편', '로맨스']",한국,2020,3.4,m5GoPJN
각자의 입장,['강정인'],movies,['단편'],한국,2019,3.0,m5Nnw8p
유통기한,['유준민'],movies,['단편'],한국,2020,3.3,mOgj8pa
실,"['조민재', '이나연']",movies,"['드라마', '단편']",한국,2020,3.5,mO1jJew
