title,director,content_type,genres,nation,year,ratings_avg,movie_code
미나리,['정이삭'],movies,['드라마'],미국,2020,4.1,m53m90n
보이즈 스테이트,"['제시 모스', '아만다 맥바인']",movies,['다큐멘터리'],미국,2020,0.0,mOllY69
"얄다, 용서의 밤",['마수드 바크시'],movies,['드라마'],이란,2019,4.0,m5mYx13
에피센트로,['휴베르트 소퍼'],movies,['다큐멘터리'],오스트리아,2020,0.0,m5QAkKy
클레멘시,['치노녜 추크우'],movies,['드라마'],미국,2019,2.8,mWvwL33
원 차일드 네이션,"['난푸 왕', '린 장']",movies,['다큐멘터리'],중국,2019,3.6,mOkowZ8
더 수버니어 ,['조안나 호그'],movies,"['드라마', '스릴러']",영국,2019,2.9,m5aaNVv
허니랜드,"['타마라 코테브스카', '루보미르 스테파노브']",movies,"['다큐멘터리', '드라마']",북마케도니아,2019,3.9,mdBDgzA
카메론 포스트의 잘못된 교육,['데지레 아카반'],movies,"['드라마', '로맨스']",미국,2018,3.4,m5m1wlB
미나리,['정이삭'],movies,['드라마'],미국,2020,4.1,m53m90n
보이즈 스테이트,"['제시 모스', '아만다 맥바인']",movies,['다큐멘터리'],미국,2020,0.0,mOllY69
"얄다, 용서의 밤",['마수드 바크시'],movies,['드라마'],이란,2019,4.0,m5mYx13
에피센트로,['휴베르트 소퍼'],movies,['다큐멘터리'],오스트리아,2020,0.0,m5QAkKy
클레멘시,['치노녜 추크우'],movies,['드라마'],미국,2019,2.8,mWvwL33
원 차일드 네이션,"['난푸 왕', '린 장']",movies,['다큐멘터리'],중국,2019,3.6,mOkowZ8
더 수버니어 ,['조안나 호그'],movies,"['드라마', '스릴러']",영국,2019,2.9,m5aaNVv
허니랜드,"['타마라 코테브스카', '루보미르 스테파노브']",movies,"['다큐멘터리', '드라마']",북마케도니아,2019,3.9,mdBDgzA
카메론 포스트의 잘못된 교육,['데지레 아카반'],movies,"['드라마', '로맨스']",미국,2018,3.4,m5m1wlB
카일라쉬,[],movies,[],미국,2018,0.0,mOVvGKB
버터플라이스,['톨가 카라셀릭'],movies,[],null,2018,0.0,mOgBAen
아버지와 아들,['타달 델키'],movies,['다큐멘터리'],독일,2017,4.0,mdja7ew
루스에게 생긴 일,['마콘 블레어'],movies,"['범죄', '스릴러']",미국,2017,3.2,m5Y6Qb3
디나,"['댄 시클스', '안토니오 산티니']",movies,['다큐멘터리'],미국,2016,3.3,mOl40eL
더 나일 힐턴 인시던트,['타릭 살레'],movies,"['스릴러', '범죄', '드라마']",모로코,2017,3.5,mOk1KDJ
라스트맨 인 알레포,"['페라스 파이야드', '스텐 요하넨센']",movies,"['다큐멘터리', '전쟁']",덴마크,2017,4.0,mOPoZlg
국가의 탄생,['네이트 파커'],movies,"['역사', '드라마']",캐나다,2016,3.1,mOl4Exe
앤서니 위너: 선거 이야기,"['조쉬 크릭먼', '엘리스 스타인버그']",movies,['다큐멘터리'],미국,2016,3.6,m5XMB4z
샌드 스톰,['일리트 젝세르'],movies,['드라마'],이스라엘,2016,3.3,m5Y6x4w
소니타,['로크사레 가엠 마가미'],movies,['다큐멘터리'],독일,2015,2.9,mWpmP0g
"나와 친구, 그리고 죽어가는 소녀",['알폰소 고메즈-레종'],movies,"['코미디', '드라마', '로맨스']",미국,2015,3.9,mdEwLEl
더 울프팩,['크리스탈 모젤'],movies,"['다큐멘터리', '드라마', '가족']",미국,2015,3.4,md76y0p
슬로우 웨스트,['존 맥클린'],movies,"['액션', '모험', '드라마', '로맨스', '스릴러', '서부극']",영국,2015,3.6,mdRLbKv
러시안 딱따구리,['채드 그라시아'],movies,"['전쟁', '다큐멘터리']",영국,2014,3.4,mdjanR9
