title,director,content_type,genres,nation,year,ratings_avg,movie_code
조커,['토드 필립스'],movies,"['스릴러', '드라마', '범죄']",미국,2019,3.9,m5Q9Zg8
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],movies,"['모험', '스릴러', '판타지', '로맨스', '드라마']",미국,2017,3.9,m5xJxeB
떠나간 여인,['라브 디아즈'],movies,['드라마'],필리핀,2016,3.8,mOPoQNX
먼 곳으로부터,['로렌조 비가스'],movies,"['로맨스', '드라마']",베네수엘라,2015,3.3,mdBzrmD
"비둘기, 가지에 앉아 존재를 성찰하다",['로이 안데르손'],movies,"['코미디', '드라마', '판타지']",스웨덴,2014,3.6,mO0gRKx
성스러운 도로,['지안프란코 로시'],movies,['다큐멘터리'],이탈리아,2013,3.2,m5nQpK9
피에타,['김기덕'],movies,"['드라마', '스릴러']",한국,2012,3.1,mWwVGj5
파우스트,['알렉산더 소쿠로프'],movies,"['드라마', '판타지', '미스터리']",러시아,2011,3.2,m5eoMZO
조커,['토드 필립스'],movies,"['스릴러', '드라마', '범죄']",미국,2019,3.9,m5Q9Zg8
로마,['알폰소 쿠아론'],movies,['드라마'],미국,2018,4.1,m5aVG6j
셰이프 오브 워터: 사랑의 모양,['기예르모 델 토로'],movies,"['모험', '스릴러', '판타지', '로맨스', '드라마']",미국,2017,3.9,m5xJxeB
떠나간 여인,['라브 디아즈'],movies,['드라마'],필리핀,2016,3.8,mOPoQNX
먼 곳으로부터,['로렌조 비가스'],movies,"['로맨스', '드라마']",베네수엘라,2015,3.3,mdBzrmD
"비둘기, 가지에 앉아 존재를 성찰하다",['로이 안데르손'],movies,"['코미디', '드라마', '판타지']",스웨덴,2014,3.6,mO0gRKx
성스러운 도로,['지안프란코 로시'],movies,['다큐멘터리'],이탈리아,2013,3.2,m5nQpK9
피에타,['김기덕'],movies,"['드라마', '스릴러']",한국,2012,3.1,mWwVGj5
파우스트,['알렉산더 소쿠로프'],movies,"['드라마', '판타지', '미스터리']",러시아,2011,3.2,m5eoMZO
썸웨어,['소피아 코폴라'],movies,['드라마'],미국,2010,3.5,mOgnzaW
레바논,"['마오즈 슈무릭', '사무엘 마오즈']",movies,"['전쟁', '드라마']",독일,2009,3.4,mOgLNnd
더 레슬러,['대런 아로노프스키'],movies,"['드라마', '스포츠', '액션']",미국,2008,3.7,mOo0wZd
"색, 계",['이안'],movies,"['드라마', '역사', '로맨스', '스릴러', '전쟁']",미국,2007,3.6,m6dRLLW
스틸 라이프,['지아 장 커'],movies,['드라마'],중국,2006,3.8,mmObY7W
브로크백 마운틴,['이안'],movies,"['드라마', '로맨스']",미국,2005,3.8,mV53qOy
베라 드레이크,['마이크 리'],movies,"['드라마', '범죄']",뉴질랜드,2004,3.7,mWzmnP5
리턴,['안드레이 즈비아긴체프'],movies,['드라마'],러시아,2003,3.6,m5eZqRW
막달레나 시스터즈,['피터 멀런'],movies,['드라마'],영국,2002,3.6,mOlYVgd
몬순 웨딩,['미라 네이어'],movies,[],인도,2001,3.3,m5ZlKzO
써클,['자파르 파나히'],movies,['드라마'],이탈리아,2000,3.4,m5NEwnd
책상 서랍 속의 동화,['장예모'],movies,['드라마'],중국,1999,3.7,m85XQLW
우리가 웃는 법,['지아니 아멜리오'],movies,[],이탈리아,1998,2.9,m5a3EGO
하나비,['기타노 다케시'],movies,"['범죄', '드라마', '로맨스', '스릴러']",일본,1997,3.7,mOo1ra5
마이클 콜린스,['닐 조던'],movies,"['드라마', '스릴러']",영국,1996,3.3,m5r2RR5
씨클로,['트란 안 훙'],movies,"['드라마', '범죄']",프랑스,1995,3.4,mAOlwnW
비포 더 레인,['밀코 만체프스키'],movies,"['로맨스', '드라마']",프랑스,1995,3.6,mdKBDYO
애정만세,['차이밍량'],movies,['드라마'],대만,1994,3.8,mM5r6b5
숏컷,['로버트 알트먼'],movies,"['코미디', '드라마']",미국,1993,3.8,m5XwJzd
세 가지 색 : 블루,['크지슈토프 키에슬로프스키'],movies,"['드라마', '음악', '미스터리', '로맨스']",프랑스,1993,3.6,mXOgDNd
귀주 이야기,['장예모'],movies,"['드라마', '코미디']",중국,1992,3.5,mWyyJ6W
우르가,['니키타 미할코프'],movies,['드라마'],프랑스,1991,3.3,m6dRqaO
로젠크란츠와 길덴스턴은 죽었다,['톰 스톱파드'],movies,"['드라마', '코미디']",영국,1990,3.4,mWpggw5
비정성시,['허우 샤오시엔'],movies,['드라마'],대만,1989,4.0,m85X415
영험한 애주가의 전설,['에르만노 올미'],movies,[],미국,1988,2.9,m5ZMLed
굿바이 칠드런,['루이 말'],movies,"['드라마', '전쟁']",프랑스,1987,3.7,mWwxGmO
녹색 광선,['에릭 로메르'],movies,"['로맨스', '드라마']",프랑스,1986,3.8,mJ5xoxd
방랑자,['아녜스 바르다'],movies,['드라마'],프랑스,1985,3.9,mOk3PkO
조용한 태양의 해,['크지쉬토프 자누쉬'],movies,['로맨스'],폴란드,1984,3.2,mO0EeRd
미녀 갱 카르멘,['장 뤽 고다르'],movies,"['범죄', '드라마', '음악', '로맨스']",프랑스,1983,3.4,mW4L9PW
사물의 상태,['빔 벤더스'],movies,[],네덜란드,1982,3.4,mdEo9pW
독일 자매,['마가레테 폰 트로타'],movies,['드라마'],독일,1981,3.3,m5YElR5
아틀란틱 시티,['루이 말'],movies,"['로맨스', '드라마', '범죄']",캐나다,1980,3.3,m5Gm8XO
글로리아,['존 카사베츠'],movies,"['드라마', '스릴러', '범죄']",미국,1980,3.7,m5GEzDO
서커스 돔 위의 예술가,['알렉산더 클루게'],movies,[],null,1968,3.1,mWpzmvd
세브린느,['루이스 부뉴엘'],movies,['드라마'],프랑스,1967,3.6,m15GarO
알제리 전투,['질로 폰테코르보'],movies,"['드라마', '전쟁', '다큐멘터리']",알제리,1966,3.5,mWqxJB5
희미한 곰별자리,['루키노 비스콘티'],movies,"['드라마', '스릴러']",이탈리아,1965,3.6,mO0w9RW
붉은 사막,['미켈란젤로 안토니오니'],movies,['드라마'],이탈리아,1964,3.7,mObg61d
도시 위에 군림하는 손,['프란체스코 로시'],movies,['드라마'],이탈리아,1963,3.3,mOk2vzW
이반의 어린 시절,['안드레이 타르코프스키'],movies,"['전쟁', '드라마']",소련,1962,3.9,md760pO
크로나카 파밀리아레,['발레리오 추를리니'],movies,['드라마'],이탈리아,1962,2.5,mOPVNnl
지난 해 마리앙바드에서,['알랭 레네'],movies,"['공포', '드라마', '스릴러', '미스터리']",프랑스,1961,3.8,mdEpMlO
라인강을 넘어,['안드레 카야트'],movies,['드라마'],프랑스,1960,3.1,mOg68gW
제너럴 델라 로베레,['로베르토 로셀리니'],movies,[],이탈리아,1959,3.2,mWvRz0W
더 그레이트 워,['마리오 모니셀리'],movies,"['전쟁', '드라마', '코미디']",이탈리아,1959,3.1,mW4jood
무호마츠의 일생,['이나가키 히로시'],movies,[],일본,1958,3.2,mWzYJg5
아푸 제2부 - 아파라지토,['사티야지트 레이'],movies,['드라마'],인도,1956,3.7,mdRpv4W
오데트,['칼 테오도르 드레이어'],movies,['드라마'],덴마크,1954,4.0,mWJeB85
로미오와 줄리엣,[],movies,['로맨스'],이탈리아,1954,3.7,mV53Zpd
금지된 장난,['르네 클레망'],movies,"['드라마', '전쟁']",프랑스,1952,3.8,m5xMajW
라쇼몽,['구로사와 아키라'],movies,"['드라마', '범죄']",일본,1950,3.8,mOl4lLO
재판은 끝났다,['안드레 카야트'],movies,['드라마'],프랑스,1950,0.0,mWvVb7Z
마농,['앙리 조르주 클루조'],movies,[],프랑스,1949,3.4,mOPjBp5
햄릿,['로렌스 올리비에'],movies,['드라마'],영국,1948,3.6,mOlN1l5
