title,director,content_type,genres,nation,year,ratings_avg,movie_code
대부 일대기,['프란시스 포드 코폴라'],movies,"['드라마', '범죄']",미국,1992,4.4,md6B3Ad
쇼생크 탈출,['프랭크 다라본트'],movies,['드라마'],미국,1994,4.4,mNdKBkO
인생은 아름다워,['로베르토 베니니'],movies,"['드라마', '코미디']",이탈리아,1997,4.4,mV539wO
하이큐!! 콘셉트의 싸움,['미츠나카 스스무'],movies,"['애니메이션', '스포츠']",일본,2017,4.4,mW4LYBo
12인의 노한 사람들,['윌리엄 프리드킨'],movies,"['드라마', '범죄']",미국,1997,4.2,m5r0pVO
인셉션,['크리스토퍼 놀란'],movies,"['액션', '모험', 'SF', '스릴러']",미국,2010,4.4,mW4L2XW
하이큐!! 재능과 센스,['미츠나카 스스무'],movies,"['애니메이션', '스포츠']",일본,2017,4.4,m5ZX3Xe
다크 나이트,['크리스토퍼 놀란'],movies,"['액션', '드라마', '스릴러', '범죄', '판타지']",미국,2008,4.3,mJOVXR5
타이타닉,['제임스 카메론'],movies,"['로맨스', '드라마']",미국,1997,4.3,mJ5x8x5
대부 일대기,['프란시스 포드 코폴라'],movies,"['드라마', '범죄']",미국,1992,4.4,md6B3Ad
쇼생크 탈출,['프랭크 다라본트'],movies,['드라마'],미국,1994,4.4,mNdKBkO
인생은 아름다워,['로베르토 베니니'],movies,"['드라마', '코미디']",이탈리아,1997,4.4,mV539wO
하이큐!! 콘셉트의 싸움,['미츠나카 스스무'],movies,"['애니메이션', '스포츠']",일본,2017,4.4,mW4LYBo
12인의 노한 사람들,['윌리엄 프리드킨'],movies,"['드라마', '범죄']",미국,1997,4.2,m5r0pVO
인셉션,['크리스토퍼 놀란'],movies,"['액션', '모험', 'SF', '스릴러']",미국,2010,4.4,mW4L2XW
하이큐!! 재능과 센스,['미츠나카 스스무'],movies,"['애니메이션', '스포츠']",일본,2017,4.4,m5ZX3Xe
다크 나이트,['크리스토퍼 놀란'],movies,"['액션', '드라마', '스릴러', '범죄', '판타지']",미국,2008,4.3,mJOVXR5
타이타닉,['제임스 카메론'],movies,"['로맨스', '드라마']",미국,1997,4.3,mJ5x8x5
레미제라블 25주년 런던 라이브 공연,['닉 모리스'],movies,['드라마'],영국,2010,4.3,mO0gZ9x
가버나움,['나딘 라바키'],movies,['드라마'],레바논,2018,4.3,m5DGP37
센과 치히로의 행방불명,['미야자키 하야오'],movies,"['판타지', '애니메이션', '가족']",일본,2001,4.3,my5YGwO
기생충,['봉준호'],movies,['드라마'],한국,2019,4.3,mdRL4eL
포레스트 검프,['로버트 저메키스'],movies,"['드라마', '로맨스', '코미디']",미국,1994,4.3,mY5QvGW
시네마 천국,['쥬세페 토르나토레'],movies,['드라마'],이탈리아,1988,4.3,m1WwY4d
레옹,['뤽 베송'],movies,"['액션', '범죄', '드라마', '스릴러']",프랑스,1994,4.2,m15GKp5
대부,['프란시스 포드 코폴라'],movies,"['범죄', '드라마', '스릴러']",미국,1972,4.3,mjO0zL5
어바웃 타임,['리처드 커티스'],movies,"['판타지', '드라마', '로맨틱코미디', '코미디', '로맨스']",영국,2013,4.3,mO2x9k5
타이타닉,['로버트 리버만'],movies,[],캐나다,1996,4.2,m5r0koO
인터스텔라,['크리스토퍼 놀란'],movies,"['모험', '드라마', 'SF']",미국,2014,4.2,mO2p7x5
어벤져스: 엔드게임,"['안소니 루소', '조 루소']",movies,"['액션', '모험', 'SF']",미국,2019,4.2,mdBzNnP
죽은 시인의 사회,['피터 위어'],movies,"['드라마', '틴에이저']",미국,1989,4.2,mjO0ovW
트루먼 쇼,['피터 위어'],movies,"['드라마', 'SF', '코미디']",미국,1998,4.2,mLOPKgW
대부 2,['프란시스 포드 코폴라'],movies,"['드라마', '범죄']",미국,1974,4.2,mYdEXlO
어느 가족,['고레에다 히로카즈'],movies,"['범죄', '드라마']",일본,2018,4.1,m5nQX33
12명의 성난 사람들,['시드니 루멧'],movies,['드라마'],미국,1957,4.2,mdBzxzd
하이큐!! 승자와 패자,['미츠나카 스스무'],movies,"['스포츠', '애니메이션']",일본,2015,4.3,m5Qqp4k
하울의 움직이는 성,['미야자키 하야오'],movies,"['판타지', '애니메이션']",일본,2004,4.2,mJOV1RW
