movie_code,user_code,user_name,user_rating
md6B3Ad,WRQxDkw965dl9,이호중,4.5
md6B3Ad,nkPvrb8wrvgar,Jay Oh,4.5
md6B3Ad,WwRqoR4OWxlzB,나쁜피,5.0
md6B3Ad,YaR5Y0ZWKvgX1,김하빈,5.0
md6B3Ad,17ovVbgA9vzyn,kimikimi,5.0
md6B3Ad,g64qzbDbeqER0,황민철,4.5
md6B3Ad,Pznx9jNWWq761,전민철,4.5
md6B3Ad,WwRqodpgXvlzB,하얀너구리,3.5
md6B3Ad,K8nPvyyY4vYo0,장마나루,4.5
md6B3Ad,VRZv4387Dqr6y,찌몬,5.0
md6B3Ad,K6ExjPEVVvX1O,john,5.0
md6B3Ad,j4PxOlKP7qp0Q,강동완,5.0
md6B3Ad,ZBm5R0wEJ6qd4,류지훈,5.0
md6B3Ad,8BRvepOBnq6VJ,지미 헨드릭스,null
md6B3Ad,RE952oj0ZxQ72,Channy,4.0
md6B3Ad,JgkqlbgWn5X0b,강중경,4.0
md6B3Ad,nkPvrll6lxgar,최하늘,5.0
md6B3Ad,7gdxd6e32vGYJ,르네상스형뮤지션,4.0
mNdKBkO,8BRvea7pjv6VJ,조보경,5.0
mNdKBkO,RE952B1pg5Q72,JJ,5.0
mNdKBkO,VRZv4mnG15r6y,이유영,5.0
mNdKBkO,VRZv4LRXwvr6y,11,4.5
mNdKBkO,JgkqlJdWm5X0b,오뱅이삼촌,5.0
mNdKBkO,7gdxd4JpExGYJ,박수지,5.0
mNdKBkO,6nkPvrL9rxgar,이영빈,5.0
mNdKBkO,6ADvGQdzgxzZl,이중석,5.0
mNdKBkO,JZ4vB0OMYxRXO,영화가끔보는인간,4.0
mNdKBkO,8nPvyGlM4xYo0,천성식,3.5
mNdKBkO,VRZv4V64dxr6y,목표는 영화 10000편 보기,5.0
mNdKBkO,YaR5Y0ZWKvgX1,김하빈,5.0
mV539wO,6ADvGQV94xzZl,JP,5.0
mV539wO,yKZx33aROx4dJ,정동원,5.0
mV539wO,WwRqod9OzvlzB,이종호,5.0
mV539wO,R6OvKywXWxN8V,윤지욱,5.0
mV539wO,WRQxDdYQ6xdl9,김보배,5.0
mV539wO,OkexJ0w9Pvdbw,지예,5.0
