user_code,title,movie_code,content_type,genres,year
WRQxDkw965dl9,블랙 스네이크,mOPNrY5,movies,['드라마'],2006
WRQxDkw965dl9,섹스의 반대말,mOP6lD5,movies,['코미디'],1998
WRQxDkw965dl9,아담스 패밀리,mXOgb0W,movies,"['코미디', '판타지']",1991
WRQxDkw965dl9,몬스터,m9dBxqW,movies,"['범죄', '드라마', '스릴러']",2003
WRQxDkw965dl9,메기,mOPoG8D,movies,"['코미디', '드라마', '미스터리']",2018
WRQxDkw965dl9,위대한 소원,mOo0BYM,movies,"['코미디', '드라마']",2016
WRQxDkw965dl9,스탈린이 죽었다!,mWJyDXq,movies,"['코미디', '드라마', '역사', '전쟁']",2017
WRQxDkw965dl9,40 데이즈 40 나이트,m5rQBEd,movies,"['로맨틱코미디', '코미디']",2002
WRQxDkw965dl9,선데이즈 앳 티파니,m5QqK2J,movies,"['로맨스', '드라마']",2010
WRQxDkw965dl9,티스,mWvD9Zd,movies,"['공포', '코미디']",2007
WRQxDkw965dl9,원더,mO0gNVR,movies,"['가족', '드라마']",2017
WRQxDkw965dl9,인 디 아일,mdRL42D,movies,['드라마'],2018
WRQxDkw965dl9,퍼스트 맨,mOk61yM,movies,"['드라마', '역사']",2018
WRQxDkw965dl9,스타 이즈 본,mOAZkEG,movies,"['로맨스', '드라마']",2018
WRQxDkw965dl9,폭력써클,mOAZ4ld,movies,"['드라마', '액션']",2006
WRQxDkw965dl9,뱀프스,m5XBEBO,movies,['로맨틱코미디'],2012
WRQxDkw965dl9,카고,mW93rZ8,movies,"['스릴러', '드라마']",2017
WRQxDkw965dl9,레드 스패로,md6YrNa,movies,"['스릴러', '드라마', '액션']",2018
WRQxDkw965dl9,애정만세,mM5r6b5,movies,['드라마'],1994
WRQxDkw965dl9,아파트 열쇠를 빌려드립니다,mv5avjW,movies,"['로맨틱코미디', '드라마', '코미디']",1960
WRQxDkw965dl9,바톤 핑크,myWqepW,movies,"['코미디', '드라마']",1991
WRQxDkw965dl9,꽁치의 맛,mwWL0zW,movies,['드라마'],1962
WRQxDkw965dl9,필스,m5xJlv3,movies,"['코미디', '범죄', '드라마']",2013
WRQxDkw965dl9,일곱가지 유혹,m85Xa1W,movies,"['코미디', '판타지']",2000
WRQxDkw965dl9,오션스8,mdEwMrg,movies,"['범죄', '스릴러', '코미디', '액션']",2018
WRQxDkw965dl9,지옥이 뭐가 나빠,m5YE4R5,movies,['코미디'],2013
WRQxDkw965dl9,레이디 맥베스,mOVvQL8,movies,"['로맨스', '드라마']",2016
WRQxDkw965dl9,캐리어스,mOA9bmO,movies,"['재난', '공포', '드라마', '스릴러']",2009
WRQxDkw965dl9,버닝,mdRL434,movies,"['스릴러', '드라마', '미스터리']",2018
WRQxDkw965dl9,베놈,mdRLbZr,movies,"['액션', '모험', 'SF', '스릴러']",2018
WRQxDkw965dl9,다운사이징,m5ZX9v6,movies,"['SF', '코미디', '드라마']",2017
WRQxDkw965dl9,오리엔트 특급 살인,md6YvoA,movies,"['범죄', '드라마', '미스터리']",2017
WRQxDkw965dl9,셰이프 오브 워터: 사랑의 모양,m5xJxeB,movies,"['모험', '스릴러', '판타지', '로맨스', '드라마']",2017
WRQxDkw965dl9,쓰리 빌보드,m5nQKYy,movies,"['범죄', '드라마']",2017
WRQxDkw965dl9,지금 만나러 갑니다,m5GXDep,movies,"['로맨스', '판타지']",2017
WRQxDkw965dl9,앤트맨과 와스프,mdMgNAJ,movies,"['SF', '액션', '모험']",2018
WRQxDkw965dl9,내 이야기!!,m5Y63LE,movies,"['코미디', '로맨스']",2015
WRQxDkw965dl9,오 마이 그랜파,md76zYv,movies,['코미디'],2016
WRQxDkw965dl9,구품지마관,m5m21xW,movies,['코미디'],1994
WRQxDkw965dl9,수색자,mO0gpLW,movies,"['서부극', '액션', '드라마']",1956
WRQxDkw965dl9,바람에 젖은 여자,m5m1vrg,movies,"['로맨스', '드라마']",2016
WRQxDkw965dl9,아이콘을 찾아서,mdRjrbd,movies,['다큐멘터리'],2005
WRQxDkw965dl9,싱글라이더,m5eJyM9,movies,['드라마'],2016
WRQxDkw965dl9,파운더,mOgBovM,movies,"['드라마', '역사']",2016
WRQxDkw965dl9,지니어스,mWpmJYx,movies,['드라마'],2016
WRQxDkw965dl9,다크 섀도우,mObaANW,movies,"['로맨스', '공포', '코미디']",2012
WRQxDkw965dl9,유령수업,mWqJaoO,movies,"['코미디', '판타지']",1988
WRQxDkw965dl9,마부제 박사 2,m53n9wd,movies,"['공포', '스릴러', '범죄']",1933
WRQxDkw965dl9,식은 죽 먹기,m5NDzpO,movies,['코미디'],1933
WRQxDkw965dl9,10월,mOANjEd,movies,['드라마'],1927
WRQxDkw965dl9,히든 피겨스,mWqJboK,movies,"['역사', '드라마']",2016
WRQxDkw965dl9,그리스도 최후의 유혹,m2WyaYW,movies,[],1988
WRQxDkw965dl9,에비에이터,mdjaBaO,movies,"['드라마', '모험', '로맨스']",2004
WRQxDkw965dl9,패신저스,mOl4YaQ,movies,"['드라마', '로맨스', 'SF']",2016
WRQxDkw965dl9,마담 보바리,m5aADj5,movies,"['드라마', '로맨스']",2014
WRQxDkw965dl9,바보 선언,mOVlgz5,movies,"['코미디', '드라마']",1983
WRQxDkw965dl9,레고 배트맨 무비,mWpmPGx,movies,"['가족', '판타지', '애니메이션', '액션', '코미디']",2017
WRQxDkw965dl9,햄릿,mW9jlBO,movies,"['드라마', '스릴러']",1996
WRQxDkw965dl9,사일런스,mW4AqPO,movies,"['드라마', '역사']",2016
WRQxDkw965dl9,필드 인 잉글랜드,m5m11JG,movies,"['공포', '드라마']",2013
WRQxDkw965dl9,미스 페레그린과 이상한 아이들의 집,mdMgK6w,movies,"['모험', '드라마', '판타지', '스릴러']",2016
WRQxDkw965dl9,인생,m2WyY6W,movies,['드라마'],1994
WRQxDkw965dl9,알프스,mWwE2Qd,movies,['드라마'],2011
WRQxDkw965dl9,송곳니,m5rRJR5,movies,"['드라마', '스릴러']",2009
WRQxDkw965dl9,황혼에서 새벽까지,mW92KGO,movies,"['액션', '범죄', '공포']",1996
WRQxDkw965dl9,눈길,mOo0BKP,movies,['드라마'],2015
WRQxDkw965dl9,죽여주는 여자,m5QqJZJ,movies,['드라마'],2016
WRQxDkw965dl9,문라이트,m5eJDwM,movies,"['드라마', '로맨스']",2016
WRQxDkw965dl9,날 좋은 날,m5rQMPD,movies,['드라마'],2016
WRQxDkw965dl9,해리가 샐리를 만났을 때,m9dBPzW,movies,"['로맨틱코미디', '드라마']",1989
WRQxDkw965dl9,오차즈케의 맛,mdR7Xa5,movies,['드라마'],1952
WRQxDkw965dl9,이블 데드 3 - 암흑의 군단,md76Z2O,movies,"['공포', '스릴러', 'SF', '판타지']",1992
WRQxDkw965dl9,이블 데드 2,mWpGom5,movies,"['코미디', '공포']",1987
WRQxDkw965dl9,밥 로버츠,mWLpY0W,movies,['코미디'],1992
WRQxDkw965dl9,자연의 아이들,m5eQro5,movies,"['로맨스', '드라마']",1991
WRQxDkw965dl9,다가오는 것들,mWvkXpD,movies,['드라마'],2016
WRQxDkw965dl9,맨 인 더 다크,mObGYmn,movies,"['범죄', '공포', '스릴러']",2016
WRQxDkw965dl9,그들도 우리처럼,mOPly7O,movies,['드라마'],1990
WRQxDkw965dl9,돼지가 우물에 빠진 날,m85XAAW,movies,['드라마'],1996
WRQxDkw965dl9,로스트 인 더스트,mWJyAbQ,movies,"['액션', '범죄', '드라마', '스릴러', '서부극']",2016
WRQxDkw965dl9,줄리에타,mWyJqvk,movies,['드라마'],2016
WRQxDkw965dl9,"나, 다니엘 블레이크",mOPomg7,movies,['드라마'],2016
WRQxDkw965dl9,너의 이름은.,mOo0PkN,movies,"['드라마', '애니메이션', '로맨스']",2016
WRQxDkw965dl9,얼라이드,md76DgB,movies,"['액션', '전쟁', '로맨스', '스릴러', '드라마']",2017
WRQxDkw965dl9,컨택트,mdRLwlv,movies,"['미스터리', 'SF', '스릴러', '드라마']",2016
WRQxDkw965dl9,맨체스터 바이 더 씨,m5aVlPj,movies,['드라마'],2016
WRQxDkw965dl9,배니싱 포인트,mO1eXoO,movies,"['액션', '드라마']",1971
WRQxDkw965dl9,라 비 앙 로즈,mmObGkd,movies,"['드라마', '음악', '로맨스']",2007
WRQxDkw965dl9,연인,mO01jxd,movies,"['드라마', '로맨스']",1992
WRQxDkw965dl9,철콘 근크리트,mnOo8ad,movies,"['애니메이션', '액션', '모험']",2006
WRQxDkw965dl9,유령마차,m5mNjzW,movies,"['공포', '드라마', '스릴러']",1921
WRQxDkw965dl9,증오,mO23Ynd,movies,"['드라마', '범죄']",1995
WRQxDkw965dl9,이상한 빅토르 씨,md7gykd,movies,['드라마'],1938
WRQxDkw965dl9,인디애니박스: 셀마의 단백질 커피,mWyeMVW,movies,"['로맨스', '판타지', '애니메이션']",2008
WRQxDkw965dl9,붉은 10월,m5GXrrW,movies,"['액션', '스릴러']",1990
WRQxDkw965dl9,피쉬 탱크,mObBmNO,movies,['드라마'],2009
WRQxDkw965dl9,비스티 보이즈,mYdE0EO,movies,['드라마'],2008
WRQxDkw965dl9,환상의 빛,mOApmmW,movies,['드라마'],1995
