제목,장르,총 평점
SPF-18,로맨스,1.5
걸즈 트립,코미디,3.2
무민 더 무비,가족,3.4
사샤의 북극 대모험,애니메이션,3.8
키싱 부스 2,로맨스,2.8
외출,드라마,2.6
미안해하지 않았으면 좋겠어,단편,3.3
앨버트놉스,드라마,3.4
미국 수정헌법 제13조 ,다큐멘터리,4.0
SPF-18,로맨스,1.5
걸즈 트립,코미디,3.2
무민 더 무비,가족,3.4
사샤의 북극 대모험,애니메이션,3.8
키싱 부스 2,로맨스,2.8
외출,드라마,2.6
미안해하지 않았으면 좋겠어,단편,3.3
앨버트놉스,드라마,3.4
미국 수정헌법 제13조 ,다큐멘터리,4.0
시스터즈,단편,3.4
너의 시선이 머무는 곳에,드라마,2.7
타샤 튜더,다큐멘터리,3.7
365일,드라마,1.3
괴짜들의 로맨스,로맨스,3.8
웨이브,SF,3.5
세 번째 인물,단편,3.3
"윌리엄 프리드킨, 엑소시스트를 말하다",다큐멘터리,3.5
피조물,단편,2.3
아이스크림,단편,3.3
카구야님은 고백 받고 싶어 ~천재들의 연애 두뇌전~,코미디,3.0
한심해서 죄송합니다.,애니메이션,3.3
데스페라도스,코미디,2.3
사랑은 꿈과 현실의 외길목에서,애니메이션,3.5
온워드: 단 하루의 기적,애니메이션,3.6
클라우스,애니메이션,4.0
겨털소녀 김붕어,애니메이션,3.5
나이브스 아웃,코미디,3.9
콜 오브 와일드,모험,3.2
디지몬 어드벤처 2기: 우리들의 워 게임!,애니메이션,4.0
디지몬 어드벤처 1기: 운명적 만남,애니메이션,4.1
하이 스트렁,드라마,3.1
YMCA 야구단,코미디,2.9
고양이와 할아버지,드라마,3.1
그대 안의 블루,드라마,2.8
See Me,코미디,3.8
베를린 천사의 시,드라마,3.8
이지 라이더,모험,3.6
페르시아의 왕자: 시간의 모래,액션,3.2
타이탄의 분노,액션,2.9
타이탄,액션,3.0
항거:유관순 이야기,드라마,3.9
더블: 달콤한 악몽,드라마,3.5
사바하,미스터리,3.2
돌로레스 클레이븐,스릴러,3.5
컴플라이언스,범죄,3.1
가스등,범죄,3.8
식코,다큐멘터리,3.7
못말리는 이혼녀,로맨스,2.7
꿈의 제인,드라마,3.7
해치지않아,코미디,2.6
인비저블맨,공포,3.2
더티 댄싱 - 하바나 나이트,드라마,3.4
하트,로맨스,3.0
작은 아씨들,드라마,4.0
타오르는 여인의 초상,드라마,4.2
위시업,코미디,3.3
우리 지금 만나,드라마,3.1
사탄의 인형,공포,2.6
더 폴: 오디어스와 환상의 문,모험,4.0
마인드 헌터,범죄,3.4
린 코플리츠: 호르몬 괴물,코미디,3.3
아담스 패밀리,애니메이션,2.8
떼시스,스릴러,3.5
박치기!,액션,3.3
헤어 러브,가족,3.2
닥터 두리틀,모험,2.8
부에노스 아이레스에서 사랑에 빠질 확률,코미디,3.6
더 문,SF,3.7
드래그 미 투 헬,공포,2.8
미녀 삼총사 3,액션,3.1
1917,드라마,4.2
가장 보통의 연애,로맨스,3.1
쥬만지: 넥스트 레벨,액션,2.8
접속,로맨스,3.5
내가 사랑했던 모든 남자들에게: P.S. 여전히 널 사랑해,로맨스,2.7
조인성을 좋아하세요,드라마,3.4
포드 V 페라리,액션,4.0
당신이 그녀라면,코미디,3.2
두 교황,드라마,3.9
아이리시맨을 말하다,다큐멘터리,3.5
아이리시맨,범죄,3.9
캣츠,코미디,2.2
아담스 패밀리,코미디,3.5
스워드피쉬,범죄,3.4
루스 베이더 긴즈버그: 나는 반대한다,다큐멘터리,4.2
리얼 스틸,액션,3.7
드라이빙 미스 데이지,코미디,3.6
톱 햇,로맨틱코미디,3.0
바바렐라,판타지,3.1
걸스온탑,가족,3.5
행복한 사전,코미디,3.6
스코어: 영화음악의 모든 것,다큐멘터리,3.8
멤피스 벨,다큐멘터리,3.4
제럴드의 게임,공포,3.1
Les fiancés du pont Mac Donald ou ,로맨스,3.3
5시부터 7시까지의 클레오,음악,3.9
필로우 토크,로맨스,3.5
제미니 맨,액션,2.6
말레피센트 2,판타지,3.1
월요일이 사라졌다,액션,3.6
작은 아씨들,로맨스,3.6
그녀들을 도와줘,코미디,3.4
좀비랜드: 더블 탭,액션,3.3
롱 샷,코미디,3.4
프린스 코기,애니메이션,2.4
블레이드 III,액션,3.3
허슬러,범죄,3.0
6 언더그라운드,스릴러,2.9
개들의 섬,코미디,3.5
라스트 크리스마스,로맨스,2.8
미스 사이공: 25주년 특별 공연,공연실황,3.4
옆자리 괴물군,코미디,3.5
처음 만나는 자유,드라마,3.6
여배우들의 티타임,다큐멘터리,3.2
경계선,범죄,3.7
안토니아스 라인,가족,4.0
콜드 워,드라마,3.9
결혼 이야기,코미디,4.0
무지개빛 데이즈,코미디,3.4
백두산,액션,2.7
조커,스릴러,3.9
코미디의 왕,드라마,4.0
크롤,액션,2.8
안나,액션,3.2
그 아이의 포로,코미디,2.7
우리집,드라마,3.8
엘♥디케이 러브 하우스,드라마,3.2
로니 쳉: 아시아 코미디언이 미국을 망치는 이유,코미디,3.5
분노의 역류 2,액션,2.0
나니아 연대기 - 캐스피언 왕자,액션,3.5
비치온더비치,드라마,3.2
처음,코미디,3.1
술 마시기 좋은 날,국,2.8
혀의 미래,드라마,3.2
내가 어때섷ㅎㅎ,로맨스,3.0
밤치기,로맨스,3.1
애프터,로맨스,2.6
캔 유 킵 어 시크릿?,코미디,2.7
신데렐라의 크리스마스,판타지,2.2
레이디 앤 더 트램프,애니메이션,2.9
겨울왕국 2,애니메이션,3.7
나오미와 엘리의 키스 금지 리스트,드라마,2.6
릴리 슈슈의 모든 것,드라마,3.7
미드소마,드라마,3.3
우먼 인 할리우드,다큐멘터리,4.1
크리스마스에 기사가 올까요?,코미디,2.3
손님,드라마,3.6
콩나물,드라마,4.0
타인의 삶,스릴러,4.0
페르세폴리스,애니메이션,3.9
인 더 컷,미스터리,2.8
에볼루션,액션,3.1
스윗 프랑세즈,드라마,3.8
프린세스 브라이드,판타지,3.1
채털리 부인의 연인,로맨스,3.0
댓 어쿼드 모먼트: 그 어색한 순간,로맨틱코미디,2.9
안녕 베일리,모험,3.8
터미네이터: 다크 페이트,액션,3.5
니키타,액션,3.5
82년생 김지영,드라마,3.8
