code,title,year,genres,ratings_avg
md6B3Ad,대부 일대기,1992,"['드라마', '범죄']",4.4
mNdKBkO,쇼생크 탈출,1994,['드라마'],4.4
mV539wO,인생은 아름다워,1997,"['드라마', '코미디']",4.4
mW4LYBo,하이큐!! 콘셉트의 싸움,2017,"['애니메이션', '스포츠']",4.4
m5r0pVO,12인의 노한 사람들,1997,"['드라마', '범죄']",4.2
mW4L2XW,인셉션,2010,"['액션', '모험', 'SF', '스릴러']",4.4
m5ZX3Xe,하이큐!! 재능과 센스,2017,"['애니메이션', '스포츠']",4.4
mJOVXR5,다크 나이트,2008,"['액션', '드라마', '스릴러', '범죄', '판타지']",4.3
mJ5x8x5,타이타닉,1997,"['로맨스', '드라마']",4.3
mO0gZ9x,레미제라블 25주년 런던 라이브 공연,2010,['드라마'],4.3
m5DGP37,가버나움,2018,['드라마'],4.3
my5YGwO,센과 치히로의 행방불명,2001,"['판타지', '애니메이션', '가족']",4.3
mdRL4eL,기생충,2019,['드라마'],4.3
mY5QvGW,포레스트 검프,1994,"['드라마', '로맨스', '코미디']",4.3
m1WwY4d,시네마 천국,1988,['드라마'],4.3
m15GKp5,레옹,1994,"['액션', '범죄', '드라마', '스릴러']",4.2
mjO0zL5,대부,1972,"['범죄', '드라마', '스릴러']",4.3
mO2x9k5,어바웃 타임,2013,"['판타지', '드라마', '로맨틱코미디', '코미디', '로맨스']",4.3
m5r0koO,타이타닉,1996,[],4.2
mO2p7x5,인터스텔라,2014,"['모험', '드라마', 'SF']",4.2
mdBzNnP,어벤져스: 엔드게임,2019,"['액션', '모험', 'SF']",4.2
mjO0ovW,죽은 시인의 사회,1989,"['드라마', '틴에이저']",4.2
mLOPKgW,트루먼 쇼,1998,"['드라마', 'SF', '코미디']",4.2
mYdEXlO,대부 2,1974,"['드라마', '범죄']",4.2
m5nQX33,어느 가족,2018,"['범죄', '드라마']",4.1
mdBzxzd,12명의 성난 사람들,1957,['드라마'],4.2
m5Qqp4k,하이큐!! 승자와 패자,2015,"['스포츠', '애니메이션']",4.3
mJOV1RW,하울의 움직이는 성,2004,"['판타지', '애니메이션']",4.2
mJ5xwgd,매트릭스,1999,"['판타지', 'SF', '액션', '모험']",4.2
mOVPqMN,김복동,2019,['다큐멘터리'],4.1
m5e8v3d,신세계,2012,"['드라마', '범죄', '액션']",4.2
mOVGPYd,욤욤 공주와 도둑,1995,['애니메이션'],4.1
mnWJyx5,굿 윌 헌팅,1997,['드라마'],4.2
mO0gNVR,원더,2017,"['가족', '드라마']",4.2
mO1D8PW,달,2011,['애니메이션'],4.2
md6R8Zd,천국과 지옥,1963,"['범죄', '액션', '드라마', '스릴러']",4.1
m5aKVNO,클로즈 업,1990,"['드라마', '범죄']",4.2
mdRLE4W,유주얼 서스펙트,1995,"['범죄', '미스터리', '스릴러']",4.2
mOAr8ad,고령가 소년 살인사건,1991,"['드라마', '범죄']",4.1
m5XMeBW,아이언맨,2008,"['SF', '액션', '모험']",4.2
md7nK2O,할복,1962,"['시대극', '드라마', '액션']",4.2
m5GXz42,라라랜드,2016,"['코미디', '드라마', '음악', '로맨스']",4.1
mW4rmed,다크 나이트 라이즈,2012,"['액션', '범죄', '판타지', '스릴러']",4.1
m45ngDW,반지의 제왕 : 왕의 귀환,2003,"['판타지', '드라마', '액션', '전쟁', '모험']",4.2
moW4XlW,쉰들러 리스트,1993,"['드라마', '역사', '전쟁']",4.2
mBOkGJO,피아니스트,2002,"['드라마', '음악', '전쟁']",4.1
myWqxp5,파이트 클럽,1999,"['드라마', '액션']",4.1
mZ5e6oW,본 얼티메이텀,2007,"['액션', '미스터리', '스릴러']",4.1
mOgBxPa,주토피아,2016,"['모험', '애니메이션', '액션', '코미디', '가족', '키즈']",4.2
mWLar6O,변호인,2013,['드라마'],4.1
mOo0AbL,하이큐!! 끝과 시작,2015,"['스포츠', '애니메이션']",4.2
mOk6rwW,세 얼간이,2009,"['코미디', '드라마']",4.1
m85XM3W,하나 그리고 둘,2000,['드라마'],4.1
mAd7k2d,추격자,2008,"['범죄', '액션', '스릴러']",4.1
mWyJ9BK,그린 북,2018,"['코미디', '드라마', '음악']",4.2
mJO16Vd,글래디에이터,2000,"['액션', '드라마', '모험']",4.1
mQO8g3W,본 슈프리머시,2004,"['액션', '미스터리', '스릴러']",4.1
mE5DYeW,살인의 추억,2003,"['범죄', '미스터리', '드라마', '스릴러']",4.1
mYdEygd,집시의 시간,1989,['드라마'],4.1
mWw3Bb4,우먼 인 할리우드,2018,['다큐멘터리'],4.1
mdKmrJW,아이언맨 3,2013,"['SF', '액션', '모험']",4.1
m85X9LW,이터널 선샤인,2004,"['드라마', '로맨스', 'SF']",4.1
mdja7JJ,주전장,2018,['다큐멘터리'],4.1
m5XML4L,페이퍼맨,2012,['애니메이션'],4.1
md76rkk,스파이더맨: 뉴 유니버스,2018,"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']",4.0
mOPomg7,"나, 다니엘 블레이크",2016,['드라마'],4.1
m533ew5,식스 센스,1999,"['드라마', '스릴러', '공포', '미스터리']",4.1
mYdE4GO,라이언 일병 구하기,1998,"['전쟁', '액션', '드라마']",4.1
m6dRLWy,타짜,2006,"['드라마', '코미디']",4.1
mXOgK0O,본 아이덴티티,2002,"['액션', '미스터리', '스릴러']",4.1
m5aVG6j,로마,2018,['드라마'],4.1
mdjaL2q,억압받는 다수,2010,"['드라마', '코미디']",4.0
mOVgp1d,어벤져스,2012,"['모험', '판타지', '액션', 'SF']",4.2
mO0gZ8X,킹스맨 : 시크릿 에이전트,2014,"['액션', '범죄', '코미디', '모험', '스릴러']",4.1
mNdKmRW,프로메제,1996,['드라마'],4.1
mOAZZvQ,방파제,1962,"['드라마', '로맨스']",4.1
m1WwBl5,여인의 향기,1992,['드라마'],4.1
mOk6LPg,어른이 되면,2018,['다큐멘터리'],4.0
