code,title,year,genres,ratings_avg,comments
mOPVxk7,데어 이즈 노 이블,2020,['드라마'],4.3,"[{'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 0.0}, {'user_code': 'WRQxDOw1V5dl9', 'user_name': '최고의띵곡렛잇고', 'user_rating': 5.0}, {'user_code': '36lvX3mXZqXdn', 'user_name': '우홍주', 'user_rating': 0.0}, {'user_code': 'g64qzB1EMqER0', 'user_name': 'firebird', 'user_rating': 4.0}, {'user_code': 'DgwxAk4ZEvrMj', 'user_name': 'Mi Hee Kim', 'user_rating': 4.0}]"
mOlwRXN,시너님스,2019,['드라마'],3.3,"[{'user_code': 'JgAx8k2wow5Lb', 'user_name': '__', 'user_rating': 3.0}, {'user_code': 'g64qzjX8eqER0', 'user_name': 'film fantasia', 'user_rating': 3.5}, {'user_code': 'JgAx8W1GD5LbO', 'user_name': '이주형', 'user_rating': 4.0}, {'user_code': 'LzNM5Nga7x26j', 'user_name': '또로로', 'user_rating': 4.0}, {'user_code': 'JZ4vB8rVGxRXO', 'user_name': '왕은혜', 'user_rating': 3.0}, {'user_code': 'WwRqo1MXV5lzB', 'user_name': '윤승현', 'user_rating': 4.5}, {'user_code': 'g64qzBA8RqER0', 'user_name': '박찬욱', 'user_rating': 3.5}, {'user_code': '36lvX8e9PvXdn', 'user_name': '103', 'user_rating': 2.5}, {'user_code': 'WRQxDj7J6vdl9', 'user_name': '양희완', 'user_rating': 4.0}, {'user_code': 'JZ4vBPanzxRXO', 'user_name': '옹오이성승제우훈연', 'user_rating': 3.0}]"
m5Qq9mQ,터치 미 낫,2018,['드라마'],2.9,"[{'user_code': 'R6OvKeOr9xN8V', 'user_name': 'Noname', 'user_rating': 0.5}, {'user_code': 'OkexJLenEvdbw', 'user_name': '역광', 'user_rating': 0.0}, {'user_code': 'zNM5NdYrKq26j', 'user_name': '손재수', 'user_rating': 0.0}]"
mdBzMpp,우리는 같은 꿈을 꾼다,2017,"['로맨스', '드라마']",3.6,"[{'user_code': 'DgwxAeQYNxrMj', 'user_name': '이동진 평론가', 'user_rating': 4.0}, {'user_code': 'OkexJVnVgxdbw', 'user_name': '최성찬', 'user_rating': 4.5}, {'user_code': 'pnb4xk04dqOAz', 'user_name': 'Nyx', 'user_rating': 4.5}, {'user_code': 'VRZv4n39Pxr6y', 'user_name': '잠소현', 'user_rating': 4.0}, {'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 3.5}, {'user_code': '36lvXKdAPqXdn', 'user_name': '영우', 'user_rating': 3.5}, {'user_code': 'jae5Wj9eGv1P3', 'user_name': '퐁퐁이', 'user_rating': 3.5}, {'user_code': '6ewxaBeAGqQ1m', 'user_name': 'Cinephile', 'user_rating': 4.0}, {'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.5}, {'user_code': 'nkPvrlYOrxgar', 'user_name': 'kjhnhk', 'user_rating': 3.0}]"
mdMg7Yw,화염의 바다,2015,['다큐멘터리'],3.4,"[{'user_code': 'VRZv4zNNPxr6y', 'user_name': '다솜땅', 'user_rating': 3.5}, {'user_code': '17ovVLmd9xzyn', 'user_name': 'ChrisCHUN', 'user_rating': 3.0}, {'user_code': 'JgkqlbMKD5X0b', 'user_name': '조성호', 'user_rating': 4.0}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.5}, {'user_code': '7gdxd6KQVvGYJ', 'user_name': '오태영', 'user_rating': 4.5}, {'user_code': 'jae5WBerVv1P3', 'user_name': '딜레탕트', 'user_rating': 0.0}, {'user_code': '7gdxd9E2RqGYJ', 'user_name': 'YH', 'user_rating': 5.0}, {'user_code': 'WRQxDDl6Pxdl9', 'user_name': '산신령', 'user_rating': 5.0}, {'user_code': '3Bnvw4DJ05PAY', 'user_name': 'Hangill  Lee', 'user_rating': 4.0}, {'user_code': '6ADvG6gBdqzZl', 'user_name': '황희천', 'user_rating': 4.5}]"
mWvk6pr,택시,2015,"['코미디', '드라마']",3.7,"[{'user_code': 'WRQxDJ40Xvdl9', 'user_name': '김혜리 평론가 봇', 'user_rating': 4.5}, {'user_code': '6ADvGQdzgxzZl', 'user_name': '이중석', 'user_rating': 4.0}, {'user_code': '6ADvG6VGLqzZl', 'user_name': '정승원', 'user_rating': 4.0}, {'user_code': 'nkPvrb8wrvgar', 'user_name': 'Jay Oh', 'user_rating': 4.0}, {'user_code': '17ovVmrwBqzyn', 'user_name': 'chan', 'user_rating': 4.0}, {'user_code': 'RE952D72gqQ72', 'user_name': '이가은', 'user_rating': 4.5}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 4.0}, {'user_code': 'YMKqm2p7lvloD', 'user_name': '차지훈', 'user_rating': 4.0}, {'user_code': 'jae5Weky6q1P3', 'user_name': 'Scorlater', 'user_rating': 3.5}, {'user_code': 'K6ExjB1wwxX1O', 'user_name': 'Hoon', 'user_rating': 4.5}]"
m5aVV4q,백일염화,2014,"['드라마', '스릴러', '범죄']",3.4,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 3.0}, {'user_code': '3BnvwG7rBvPAY', 'user_name': '별,', 'user_rating': 4.0}, {'user_code': 'yKZx3nJg254dJ', 'user_name': '윤제아빠', 'user_rating': 4.5}, {'user_code': '87Gv7Jy4LqE6o', 'user_name': '은갈치', 'user_rating': 4.0}, {'user_code': 'jae5WMzyRq1P3', 'user_name': 'GEOGRAPHIC', 'user_rating': 4.0}, {'user_code': '6ewxa3lLkvQ1m', 'user_name': '박병규', 'user_rating': 4.0}, {'user_code': 'K6ExjdXO1vX1O', 'user_name': '전세리', 'user_rating': 5.0}, {'user_code': 'ANP9vLWJjq6kl', 'user_name': '김창근', 'user_rating': 4.5}, {'user_code': '6ADvGWR0YvzZl', 'user_name': '아오이러브유우', 'user_rating': 3.0}, {'user_code': '17ovVQOL9qzyn', 'user_name': 'CultKino 60까지5000편보기', 'user_rating': 4.0}]"
mOARaXd,아들의 자리,2013,['드라마'],3.4,"[{'user_code': '87Gv72GPVqE6o', 'user_name': '채수호', 'user_rating': 3.5}, {'user_code': 'VRZv4eONXe5r6', 'user_name': '숩ꕀ', 'user_rating': 4.0}, {'user_code': 'djaxbKjy7qLw8', 'user_name': 'Tae Hee Park', 'user_rating': 5.0}, {'user_code': '6ADvGBykWqzZl', 'user_name': '임동욱', 'user_rating': 3.0}, {'user_code': 'ZWpqM2k2Rvrkn', 'user_name': 'heon', 'user_rating': 4.5}, {'user_code': 'YMr95nBkd5ZPG', 'user_name': 'psycho', 'user_rating': 3.5}, {'user_code': 'VRZv4d0EPvr6y', 'user_name': '꾸러기', 'user_rating': 4.5}, {'user_code': '3BnvwEyEpxPAY', 'user_name': '박은학', 'user_rating': 3.0}, {'user_code': 'JZ4vB0NLzWxRX', 'user_name': 'boinda', 'user_rating': 4.0}, {'user_code': 'nb4xk23Md5OAz', 'user_name': '김영석', 'user_rating': 3.0}]"
mOA6XXd,시저는 죽어야 한다,2012,['드라마'],3.6,"[{'user_code': '6nkPvrPpmxgar', 'user_name': '알량한', 'user_rating': 3.0}, {'user_code': 'JgAx8ybOVqLbO', 'user_name': '푸줏간 소녀', 'user_rating': 5.0}, {'user_code': 'DgwxAeQYNxrMj', 'user_name': '이동진 평론가', 'user_rating': 4.5}, {'user_code': 'nkPvrb8wrvgar', 'user_name': 'Jay Oh', 'user_rating': 3.5}, {'user_code': 'Mr95nbQ175ZPG', 'user_name': '정재헌', 'user_rating': 4.0}, {'user_code': 'VRZv4J0Pwxr6y', 'user_name': '장태준', 'user_rating': 4.0}, {'user_code': 'pnb4xkpAmqOAz', 'user_name': 'Da Ye Lee', 'user_rating': 4.0}, {'user_code': 'Q9L5pQ9ogxNb0', 'user_name': '박휘웅', 'user_rating': 3.0}, {'user_code': 'ld0q0o7PYx6Xn', 'user_name': '조수영', 'user_rating': 4.0}, {'user_code': 'Qgy51MPlQ5Djk', 'user_name': 'Mashimaro', 'user_rating': 3.5}]"
my5YGwO,센과 치히로의 행방불명,2001,"['판타지', '애니메이션', '가족']",4.3,"[{'user_code': 'D4WLxZmj75roA', 'user_name': 'JM.Y', 'user_rating': 5.0}, {'user_code': 'djaxbr0KPxLw8', 'user_name': '민경', 'user_rating': 4.5}, {'user_code': 'D4WLxZKoZqroA', 'user_name': '박형곤', 'user_rating': 4.0}, {'user_code': 'Mr95nJBED5ZPG', 'user_name': '탈지구 기원자', 'user_rating': 4.5}, {'user_code': 'RE952B1pg5Q72', 'user_name': 'JJ', 'user_rating': 4.5}, {'user_code': 'j4PxOAzBmvp0Q', 'user_name': 'myc', 'user_rating': 5.0}, {'user_code': 'WwRqo0dG0vlzB', 'user_name': '조규식', 'user_rating': 5.0}, {'user_code': 'zNM5NkgYlx26j', 'user_name': '안녕', 'user_rating': 4.5}, {'user_code': 'WwRqopwVyvlzB', 'user_name': 'Camellia', 'user_rating': 5.0}, {'user_code': 'ZBm5Ry4Wyvd46', 'user_name': 'STAR-EATER', 'user_rating': 4.5}]"
