제목,장르,총 평점,유저 평점
남매의 여름밤,드라마,3.9,3.5
69세,드라마,3.6,3.5
오케이 마담,코미디,2.7,2.5
반교: 디텐션,공포,3.4,3.0
다만 악에서 구하소서,범죄,3.0,3.0
주식회사 스페셜액터스,코미디,3.4,3.0
카메라를 멈추면 안 돼!,코미디,3.8,3.5
소년 아메드,드라마,3.6,3.5
강철비2: 정상회담,드라마,2.8,2.5
마티아스와 막심,드라마,3.4,3.0
블루 아워,드라마,2.9,2.5
반도,액션,2.7,2.5
그레텔과 헨젤,판타지,2.3,2.0
소년시절의 너,로맨스,3.8,3.5
밤쉘: 세상을 바꾼 폭탄선언,드라마,3.8,3.5
트랜짓,드라마,3.7,3.5
욕창,드라마,3.1,3.0
#살아있다,드라마,2.2,2.0
부력,드라마,3.7,3.5
야구소녀,드라마,3.5,3.0
사라진 시간,미스터리,2.8,2.5
결백,드라마,2.9,2.5
환상의 마로나,애니메이션,4.0,4.0
에어로너츠,드라마,3.3,3.0
흔적 없는 삶,드라마,3.7,3.5
프랑스여자,드라마,3.2,3.0
침입자,미스터리,2.4,2.0
더 플랫폼,공포,3.3,3.0
톰보이,드라마,3.8,3.5
사냥의 시간,스릴러,2.5,2.5
너의 새는 노래할 수 있어,드라마,3.5,3.0
페인티드 버드,전쟁,3.4,3.0
주디,드라마,3.4,3.0
다크 워터스,드라마,3.5,3.5
찬실이는 복도 많지,드라마,3.6,3.5
빈폴,드라마,3.3,3.0
1917,드라마,4.2,4.0
문신을 한 신부님,드라마,3.6,3.5
작은 아씨들,드라마,4.0,4.0
조조 래빗,코미디,4.0,4.0
페인 앤 글로리,드라마,3.8,3.5
성혜의 나라,드라마,3.0,3.0
스파이 지니어스,모험,3.3,3.0
사마에게,다큐멘터리,4.2,4.0
작은빛,드라마,3.3,3.0
남산의 부장들,드라마,3.5,3.0
신의 은총으로,범죄,3.5,3.0
타오르는 여인의 초상,드라마,4.2,4.0
차일드 인 타임,드라마,3.1,3.0
스타워즈: 라이즈 오브 스카이워커,액션,2.9,2.5
스타워즈: 라스트 제다이,액션,3.3,3.0
디어스킨,코미디,3.4,3.0
파바로티,다큐멘터리,3.4,3.0
파리 대왕,드라마,3.6,3.5
바람둥이 길들이기,코미디,3.2,3.0
광란의 오후,드라마,3.3,3.0
부시맨 3 - 강시와 부시맨,코미디,2.5,2.5
구두가 발에 맞는다면,코미디,2.8,2.5
공포의 살인 원숭이,드라마,3.2,3.0
보디 에일리언,공포,3.2,3.0
해피 고 럭키,로맨스,3.4,3.0
캔디맨,공포,3.0,3.0
베토벤,코미디,3.4,3.0
엘리게이터 2,공포,2.6,2.5
리버풀,드라마,3.7,3.5
엘리미네이터,액션,2.2,2.0
어바웃 엘리,드라마,4.0,3.5
8번가의 기적,판타지,3.6,3.5
닌자 거북이,SF,3.0,2.5
코르작,드라마,3.5,3.0
카메라를 든 사람,다큐멘터리,4.0,4.0
팀북투,드라마,3.5,3.5
론 이니쉬의 비밀,드라마,3.5,3.0
메이트원,미국,3.7,3.5
상하이 블루스,코미디,3.4,3.0
부시맨 2,액션,3.0,2.5
애니,드라마,3.6,3.5
부시맨,액션,3.3,3.0
카프리의 깊은 밤,이탈리아,3.2,3.0
훔쳐보기,로맨스,3.3,3.0
올 레이디 두 잇,코미디,2.8,2.5
칼리귤라,드라마,2.9,2.5
천장지구 2,가족,3.2,3.0
천장지구,액션,3.7,3.5
국두,드라마,3.4,3.0
사랑의 눈물,로맨틱코미디,3.1,3.0
사랑의 동반자,코미디,3.6,3.5
아리엘,드라마,3.8,3.5
나는 살인 청부업자를 고용했다,드라마,3.5,3.5
아키라,애니메이션,3.8,3.5
미스테리 트레인,코미디,3.6,3.5
비룡맹장,액션,3.3,3.0
찌고이네르바이젠,스릴러,3.7,3.5
오베라는 남자,코미디,3.8,3.5
45년 후,드라마,3.5,3.5
피의 피에로,공포,2.8,2.5
아이 엠 낫 유어 니그로,다큐멘터리,3.7,3.5
춘몽,드라마,3.4,3.0
철인들,드라마,3.2,3.0
천국의 계단,드라마,2.7,2.5
영심이,코미디,2.3,2.0
천문: 하늘에 묻는다,시대극,3.1,3.0
캣츠,코미디,2.2,2.0
"고흐, 영원의 문에서",드라마,3.4,3.0
백두산,액션,2.7,2.5
두 교황,드라마,3.9,3.5
파비안느에 관한 진실,드라마,3.5,3.5
나이브스 아웃,코미디,3.9,3.5
포드 V 페라리,액션,4.0,3.5
결혼 이야기,코미디,4.0,4.0
나를 찾아줘,드라마,2.6,2.5
오피셜 시크릿,드라마,3.4,3.0
아이리시맨,범죄,3.9,3.5
겨울왕국 2,애니메이션,3.7,3.5
코끼리는 그 곳에 있어,드라마,3.9,3.5
시빌,드라마,3.0,3.0
메리 크리스마스 미스터 모,코미디,3.7,3.5
윤희에게,로맨스,4.1,4.0
왓 데이 해드,드라마,3.4,3.0
닥터 슬립,공포,3.3,3.0
터미네이터: 다크 페이트,액션,3.5,3.0
하이 라이프,모험,3.2,3.0
"오늘, 우리",드라마,3.6,3.5
날씨의 아이,애니메이션,3.2,3.0
경계선,범죄,3.7,3.5
82년생 김지영,드라마,3.8,3.5
퍼펙트 스트레인저,코미디,3.5,3.0
버티고,드라마,2.5,2.5
제미니 맨,액션,2.6,2.5
조커,스릴러,3.9,3.5
트루 시크릿,코미디,3.3,3.0
원스 어폰 어 타임... 인 할리우드,코미디,3.7,3.5
메기,코미디,3.8,3.5
더 룸,스릴러,3.1,3.0
미드 90,코미디,3.6,3.5
예스터데이,음악,2.9,2.5
애드 아스트라,SF,3.5,3.0
언더 더 실버 레이크,범죄,3.2,3.0
틴 스피릿,드라마,2.5,2.5
벌새,드라마,3.9,3.5
우리집,드라마,3.8,3.5
매니페스토,드라마,3.2,3.0
